,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
1979,KCK,DET,HOU,SEA,LAL,ATL,DEN,WSB,PHI,NOJ,CLE,SAS,POR,GSW,PHO,SDC,NJN,NYK,CHI,BOS,MIL,IND,,,,,,,,
1980,KCK,DET,HOU,SEA,LAL,ATL,DEN,WSB,PHI,CLE,SAS,POR,GSW,PHO,SDC,NJN,NYK,BOS,CHI,MIL,UTA,IND,,,,,,,,
1981,KCK,DET,HOU,SEA,DAL,LAL,ATL,DEN,WSB,PHI,CLE,SAS,POR,GSW,PHO,SDC,NJN,NYK,BOS,CHI,MIL,UTA,IND,,,,,,,
1982,KCK,DET,HOU,SEA,DAL,LAL,ATL,DEN,WSB,PHI,CLE,SAS,POR,GSW,PHO,SDC,NJN,NYK,CHI,BOS,MIL,UTA,IND,,,,,,,
1983,KCK,DET,HOU,SEA,DAL,LAL,ATL,DEN,WSB,PHI,CLE,SAS,POR,GSW,PHO,SDC,NYK,NJN,BOS,CHI,MIL,UTA,IND,,,,,,,
1984,KCK,DET,HOU,DAL,SEA,LAL,ATL,DEN,WSB,PHI,CLE,SAS,POR,GSW,PHO,SDC,NYK,NJN,BOS,CHI,MIL,UTA,IND,,,,,,,
1985,KCK,LAC,DET,HOU,DAL,SEA,LAL,ATL,DEN,WSB,PHI,CLE,SAS,POR,GSW,PHO,NJN,NYK,CHI,BOS,MIL,UTA,IND,,,,,,,
1986,LAC,DET,HOU,DAL,SEA,LAL,ATL,DEN,WSB,PHI,CLE,SAS,POR,GSW,SAC,PHO,NJN,NYK,BOS,CHI,MIL,UTA,IND,,,,,,,
1987,LAC,DET,HOU,SEA,DAL,LAL,ATL,DEN,WSB,PHI,CLE,SAS,POR,GSW,SAC,PHO,NJN,NYK,BOS,CHI,MIL,UTA,IND,,,,,,,
1988,LAC,DET,HOU,SEA,DAL,LAL,ATL,DEN,WSB,PHI,CLE,SAS,POR,GSW,SAC,PHO,NYK,NJN,BOS,CHI,MIL,UTA,IND,,,,,,,
1989,MIA,LAC,DET,HOU,SEA,DAL,LAL,ATL,DEN,WSB,PHI,CHH,CLE,SAS,POR,GSW,SAC,PHO,NYK,NJN,CHI,BOS,MIL,UTA,IND,,,,,
1990,MIA,LAC,DET,HOU,ORL,SEA,DAL,LAL,ATL,DEN,WSB,PHI,CHH,MIN,CLE,SAS,POR,GSW,SAC,PHO,NJN,NYK,BOS,CHI,MIL,UTA,IND,,,
1991,MIA,LAC,DET,HOU,ORL,SEA,DAL,LAL,ATL,DEN,WSB,PHI,CHH,MIN,CLE,SAS,POR,GSW,SAC,PHO,NJN,NYK,CHI,BOS,MIL,UTA,IND,,,
1992,MIA,LAC,DET,HOU,ORL,SEA,DAL,LAL,ATL,DEN,WSB,PHI,CHH,MIN,CLE,SAS,POR,GSW,SAC,PHO,NYK,NJN,BOS,CHI,MIL,UTA,IND,,,
1993,MIA,LAC,DET,HOU,ORL,DAL,SEA,LAL,ATL,DEN,WSB,PHI,CHH,MIN,CLE,SAS,POR,GSW,SAC,PHO,NJN,NYK,CHI,BOS,MIL,UTA,IND,,,
1994,MIA,LAC,DET,HOU,ORL,SEA,DAL,LAL,ATL,DEN,WSB,PHI,CHH,MIN,CLE,SAS,POR,GSW,SAC,PHO,NYK,NJN,BOS,CHI,MIL,UTA,IND,,,
1995,MIA,LAC,DET,HOU,ORL,SEA,DAL,LAL,ATL,DEN,WSB,PHI,CHH,MIN,CLE,SAS,POR,GSW,SAC,PHO,NJN,NYK,BOS,CHI,MIL,UTA,IND,,,
