,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Year,tm_Team,tm_G,tm_MP,tm_FG,tm_FGA,tm_FG%,tm_3P,tm_3PA,tm_3P%,tm_2P,tm_2PA,tm_2P%,tm_FT,tm_FTA,tm_FT%,tm_ORB,tm_DRB,tm_TRB,tm_AST,tm_STL,tm_BLK,tm_TOV,tm_PF,tm_PTS,tm_Age,tm_W,tm_L,tm_MOV,tm_SOS,tm_SRS,tm_ORtg,tm_DRtg,tm_NRtg,tm_Pace,tm_FTr,tm_3PAr,tm_TS%,tm_Year,tm_Team No Star,tm_Abbreviation
10,Wayne Cooper,PF,23.0,GSW,79.0,0.0,22.5,4.6,9.5,0.489,0.0,0.1,0.25,4.6,9.4,0.491,0.49,1.7,2.3,0.751,2.6,3.9,6.4,0.5,0.3,1.0,1.8,3.1,11.0,14.8,0.525,0.005,0.241,12.1,19.5,15.7,3.5,0.5,2.6,14.4,22.4,1.1,1.6,2.8,0.074,-1.6,-1.8,-3.5,-0.7,1980.0,Golden State Warriors,82.0,242.4,41.9,85.1,0.493,0.9,2.7,0.329,41.0,82.4,0.498,23.2,31.0,0.749,12.9,31.3,44.1,25.5,8.8,4.4,18.1,21.8,108.0,26.3,24.0,58.0,-4.39,0.2,-4.2,102.0,106.3,-4.3,100.5,0.262,0.017,0.52,1980.0,Golden State Warriors,GSW
11,John Coughran,SF,28.0,GSW,24.0,0.0,6.7,1.2,3.4,0.358,0.1,0.4,0.222,1.1,3.0,0.375,0.37,0.3,0.6,0.571,0.1,0.7,0.8,0.5,0.3,0.0,0.5,1.0,2.8,6.0,0.39,0.111,0.173,1.3,12.1,6.5,10.6,2.1,0.4,13.0,25.8,-0.4,0.1,-0.3,-0.086,-5.6,-0.9,-6.5,-0.3,1980.0,Golden State Warriors,82.0,242.4,41.9,85.1,0.493,0.9,2.7,0.329,41.0,82.4,0.498,23.2,31.0,0.749,12.9,31.3,44.1,25.5,8.8,4.4,18.1,21.8,108.0,26.3,24.0,58.0,-4.39,0.2,-4.2,102.0,106.3,-4.3,100.5,0.262,0.017,0.52,1980.0,Golden State Warriors,GSW
12,Darnell Hillman,PF,30.0,GSW,49.0,0.0,14.4,1.7,3.7,0.458,0.0,0.0,0.0,1.7,3.7,0.458,0.458,0.7,1.4,0.5,1.2,2.5,3.7,1.0,0.4,0.5,1.2,2.6,4.0,8.7,0.474,0.0,0.38,8.9,19.5,14.0,8.6,1.4,2.0,22.0,15.6,-0.5,0.8,0.3,0.018,-4.5,0.3,-4.2,-0.4,1980.0,Golden State Warriors,82.0,242.4,41.9,85.1,0.493,0.9,2.7,0.329,41.0,82.4,0.498,23.2,31.0,0.749,12.9,31.3,44.1,25.5,8.8,4.4,18.1,21.8,108.0,26.3,24.0,58.0,-4.39,0.2,-4.2,102.0,106.3,-4.3,100.5,0.262,0.017,0.52,1980.0,Golden State Warriors,GSW
13,Cheese Johnson,SF,22.0,GSW,9.0,0.0,5.9,1.3,3.3,0.4,0.0,0.0,0.0,1.3,3.3,0.4,0.4,0.3,0.6,0.6,0.7,0.9,1.6,0.2,0.1,0.0,0.4,1.2,3.0,9.4,0.419,0.0,0.167,12.1,17.2,14.6,5.7,0.9,0.0,11.0,28.1,-0.1,0.0,0.0,-0.033,-4.5,-1.0,-5.5,-0.1,1980.0,Golden State Warriors,82.0,242.4,41.9,85.1,0.493,0.9,2.7,0.329,41.0,82.4,0.498,23.2,31.0,0.749,12.9,31.3,44.1,25.5,8.8,4.4,18.1,21.8,108.0,26.3,24.0,58.0,-4.39,0.2,-4.2,102.0,106.3,-4.3,100.5,0.262,0.017,0.52,1980.0,Golden State Warriors,GSW
14,John Lucas,PG,26.0,GSW,80.0,0.0,34.5,4.9,10.4,0.467,0.2,0.5,0.286,4.7,9.9,0.477,0.475,2.8,3.6,0.768,0.8,2.0,2.8,7.5,1.7,0.0,2.3,2.5,12.6,15.3,0.528,0.051,0.348,2.4,6.6,4.4,29.2,2.4,0.1,16.1,17.0,4.0,1.9,5.9,0.103,0.7,-0.3,0.4,1.7,1980.0,Golden State Warriors,82.0,242.4,41.9,85.1,0.493,0.9,2.7,0.329,41.0,82.4,0.498,23.2,31.0,0.749,12.9,31.3,44.1,25.5,8.8,4.4,18.1,21.8,108.0,26.3,24.0,58.0,-4.39,0.2,-4.2,102.0,106.3,-4.3,100.5,0.262,0.017,0.52,1980.0,Golden State Warriors,GSW
15,Robert Parish*,C,26.0,GSW,72.0,0.0,29.4,7.1,14.0,0.507,0.0,0.0,0.0,7.1,14.0,0.507,0.507,2.8,3.9,0.715,3.4,7.4,10.9,1.7,0.8,1.6,3.1,3.4,17.0,20.0,0.541,0.001,0.282,12.5,28.8,20.4,8.9,1.3,3.2,16.6,26.4,1.5,3.1,4.6,0.104,0.7,-0.3,0.4,1.3,1980.0,Golden State Warriors,82.0,242.4,41.9,85.1,0.493,0.9,2.7,0.329,41.0,82.4,0.498,23.2,31.0,0.749,12.9,31.3,44.1,25.5,8.8,4.4,18.1,21.8,108.0,26.3,24.0,58.0,-4.39,0.2,-4.2,102.0,106.3,-4.3,100.5,0.262,0.017,0.52,1980.0,Golden State Warriors,GSW
16,Sonny Parker,SF,24.0,GSW,82.0,0.0,34.7,5.9,12.0,0.489,0.0,0.0,0.0,5.9,12.0,0.49,0.489,2.9,3.7,0.785,2.0,3.6,5.7,3.1,2.1,0.4,2.0,2.4,14.7,16.2,0.537,0.002,0.306,6.2,11.9,9.0,12.4,2.9,0.7,12.7,18.6,3.8,3.0,6.8,0.114,0.9,0.9,1.8,2.7,1980.0,Golden State Warriors,82.0,242.4,41.9,85.1,0.493,0.9,2.7,0.329,41.0,82.4,0.498,23.2,31.0,0.749,12.9,31.3,44.1,25.5,8.8,4.4,18.1,21.8,108.0,26.3,24.0,58.0,-4.39,0.2,-4.2,102.0,106.3,-4.3,100.5,0.262,0.017,0.52,1980.0,Golden State Warriors,GSW
17,Clifford Ray,C,31.0,GSW,81.0,0.0,20.8,2.5,4.7,0.53,0.0,0.0,0.0,2.5,4.7,0.533,0.53,1.0,1.8,0.564,1.5,4.2,5.8,2.3,0.6,0.4,1.9,3.3,6.0,11.3,0.546,0.005,0.389,7.7,23.3,15.3,14.2,1.4,1.1,25.7,14.8,0.0,1.9,1.9,0.054,-2.6,1.0,-1.6,0.2,1980.0,Golden State Warriors,82.0,242.4,41.9,85.1,0.493,0.9,2.7,0.329,41.0,82.4,0.498,23.2,31.0,0.749,12.9,31.3,44.1,25.5,8.8,4.4,18.1,21.8,108.0,26.3,24.0,58.0,-4.39,0.2,-4.2,102.0,106.3,-4.3,100.5,0.262,0.017,0.52,1980.0,Golden State Warriors,GSW
18,Purvis Short,SF,22.0,GSW,62.0,0.0,26.4,7.4,14.8,0.503,0.0,0.1,0.0,7.4,14.7,0.507,0.503,2.2,2.7,0.812,1.9,3.2,5.1,2.0,1.0,0.1,2.0,3.0,17.0,19.1,0.534,0.007,0.18,7.8,13.7,10.6,12.4,1.8,0.3,11.0,28.0,2.3,1.4,3.7,0.109,1.9,-1.1,0.8,1.2,1980.0,Golden State Warriors,82.0,242.4,41.9,85.1,0.493,0.9,2.7,0.329,41.0,82.4,0.498,23.2,31.0,0.749,12.9,31.3,44.1,25.5,8.8,4.4,18.1,21.8,108.0,26.3,24.0,58.0,-4.39,0.2,-4.2,102.0,106.3,-4.3,100.5,0.262,0.017,0.52,1980.0,Golden State Warriors,GSW
19,Phil Smith,SG,27.0,GSW,51.0,0.0,30.4,6.4,13.4,0.474,0.1,0.4,0.318,6.2,13.0,0.48,0.48,2.6,3.4,0.789,0.5,2.3,2.9,3.7,1.2,0.3,2.4,3.0,15.5,14.6,0.521,0.032,0.25,1.9,8.7,5.2,17.8,1.9,0.6,13.7,23.4,1.1,1.1,2.2,0.067,-0.4,-0.5,-0.9,0.4,1980.0,Golden State Warriors,82.0,242.4,41.9,85.1,0.493,0.9,2.7,0.329,41.0,82.4,0.498,23.2,31.0,0.749,12.9,31.3,44.1,25.5,8.8,4.4,18.1,21.8,108.0,26.3,24.0,58.0,-4.39,0.2,-4.2,102.0,106.3,-4.3,100.5,0.262,0.017,0.52,1980.0,Golden State Warriors,GSW
20,Raymond Townsend,SG,24.0,GSW,75.0,0.0,15.5,2.3,5.6,0.406,0.1,0.3,0.154,2.2,5.3,0.423,0.411,0.8,1.1,0.714,0.4,0.7,1.2,1.5,0.8,0.1,0.9,1.5,5.4,9.6,0.443,0.062,0.2,3.0,5.5,4.2,13.5,2.5,0.2,12.4,18.6,-0.5,0.8,0.4,0.015,-3.2,-0.1,-3.4,-0.4,1980.0,Golden State Warriors,82.0,242.4,41.9,85.1,0.493,0.9,2.7,0.329,41.0,82.4,0.498,23.2,31.0,0.749,12.9,31.3,44.1,25.5,8.8,4.4,18.1,21.8,108.0,26.3,24.0,58.0,-4.39,0.2,-4.2,102.0,106.3,-4.3,100.5,0.262,0.017,0.52,1980.0,Golden State Warriors,GSW
21,Jo Jo White*,PG,33.0,GSW,78.0,0.0,26.3,4.3,9.1,0.476,0.0,0.1,0.167,4.3,9.0,0.479,0.477,1.2,1.5,0.851,0.5,1.8,2.3,3.1,1.1,0.2,2.0,2.4,9.9,11.2,0.509,0.008,0.161,2.2,7.7,4.9,16.1,2.0,0.4,17.2,18.3,0.1,1.4,1.5,0.035,-2.2,-0.3,-2.4,-0.2,1980.0,Golden State Warriors,82.0,242.4,41.9,85.1,0.493,0.9,2.7,0.329,41.0,82.4,0.498,23.2,31.0,0.749,12.9,31.3,44.1,25.5,8.8,4.4,18.1,21.8,108.0,26.3,24.0,58.0,-4.39,0.2,-4.2,102.0,106.3,-4.3,100.5,0.262,0.017,0.52,1980.0,Golden State Warriors,GSW
22,Bubba Wilson,SG,24.0,GSW,16.0,0.0,8.9,0.4,1.6,0.28,0.0,0.0,0.0,0.4,1.6,0.28,0.28,0.2,0.4,0.5,0.4,0.6,1.0,0.8,0.1,0.0,0.5,0.7,1.1,2.1,0.308,0.0,0.24,4.5,8.0,6.2,10.0,0.7,0.0,22.4,10.3,-0.2,0.0,-0.2,-0.064,-4.4,-0.9,-5.3,-0.2,1980.0,Golden State Warriors,82.0,242.4,41.9,85.1,0.493,0.9,2.7,0.329,41.0,82.4,0.498,23.2,31.0,0.749,12.9,31.3,44.1,25.5,8.8,4.4,18.1,21.8,108.0,26.3,24.0,58.0,-4.39,0.2,-4.2,102.0,106.3,-4.3,100.5,0.262,0.017,0.52,1980.0,Golden State Warriors,GSW
23,Alvan Adams,C,25.0,PHO,75.0,0.0,28.9,6.2,11.7,0.531,0.0,0.0,0.0,6.2,11.6,0.533,0.531,2.5,3.1,0.797,2.1,6.0,8.1,4.3,1.4,0.7,2.9,3.2,14.9,19.2,0.571,0.002,0.27,8.2,22.4,15.4,21.6,2.3,1.4,18.2,21.9,3.1,3.9,7.0,0.155,1.7,1.9,3.6,3.1,1980.0,Phoenix Suns*,82.0,240.9,43.5,91.2,0.476,1.2,3.6,0.337,42.2,87.6,0.482,19.4,25.8,0.752,14.8,29.8,44.7,24.7,10.8,4.7,20.3,25.0,107.5,26.5,55.0,27.0,3.6,-0.35,3.25,105.6,102.2,3.4,104.8,0.341,0.039,0.548,1980.0,Phoenix Suns,PHO
24,Mike Bratz,PG,24.0,PHO,82.0,0.0,19.4,3.3,8.4,0.392,0.3,1.0,0.244,3.0,7.3,0.413,0.407,1.7,2.0,0.87,0.6,1.4,2.0,2.7,1.1,0.1,1.6,2.0,8.5,11.6,0.462,0.125,0.236,3.5,7.9,5.8,19.1,2.7,0.3,15.1,22.3,-0.5,2.0,1.5,0.046,-2.5,0.1,-2.5,-0.2,1980.0,Phoenix Suns*,82.0,240.9,43.5,91.2,0.476,1.2,3.6,0.337,42.2,87.6,0.482,19.4,25.8,0.752,14.8,29.8,44.7,24.7,10.8,4.7,20.3,25.0,107.5,26.5,55.0,27.0,3.6,-0.35,3.25,105.6,102.2,3.4,104.8,0.341,0.039,0.548,1980.0,Phoenix Suns,PHO
25,Don Buse,PG,29.0,PHO,81.0,0.0,30.9,3.2,7.3,0.443,0.2,1.0,0.241,3.0,6.3,0.475,0.459,1.0,1.6,0.664,0.9,2.0,2.9,4.0,1.6,0.1,1.1,1.4,7.7,10.7,0.485,0.134,0.217,3.1,7.0,5.1,16.0,2.4,0.2,12.4,11.7,1.7,2.9,4.6,0.088,-1.1,1.2,0.2,1.4,1980.0,Phoenix Suns*,82.0,240.9,43.5,91.2,0.476,1.2,3.6,0.337,42.2,87.6,0.482,19.4,25.8,0.752,14.8,29.8,44.7,24.7,10.8,4.7,20.3,25.0,107.5,26.5,55.0,27.0,3.6,-0.35,3.25,105.6,102.2,3.4,104.8,0.341,0.039,0.548,1980.0,Phoenix Suns,PHO
26,Jeff Cook,PF,23.0,PHO,66.0,0.0,13.7,2.0,4.2,0.469,0.0,0.0,0.0,2.0,4.1,0.474,0.469,1.6,2.0,0.806,1.4,2.3,3.7,1.3,0.4,0.3,1.1,1.5,5.5,14.4,0.546,0.011,0.469,11.2,18.0,14.6,12.2,1.4,1.1,17.6,17.7,1.1,1.3,2.4,0.126,-0.3,0.1,-0.2,0.4,1980.0,Phoenix Suns*,82.0,240.9,43.5,91.2,0.476,1.2,3.6,0.337,42.2,87.6,0.482,19.4,25.8,0.752,14.8,29.8,44.7,24.7,10.8,4.7,20.3,25.0,107.5,26.5,55.0,27.0,3.6,-0.35,3.25,105.6,102.2,3.4,104.8,0.341,0.039,0.548,1980.0,Phoenix Suns,PHO
27,Walter Davis,SF,25.0,PHO,75.0,0.0,30.8,8.8,15.5,0.563,0.0,0.1,0.0,8.8,15.5,0.565,0.563,4.0,4.9,0.819,1.0,2.6,3.6,4.5,1.5,0.3,3.2,2.7,21.5,21.3,0.608,0.003,0.313,3.6,9.2,6.5,23.6,2.3,0.5,15.4,27.0,5.5,2.8,8.3,0.173,3.4,0.2,3.6,3.3,1980.0,Phoenix Suns*,82.0,240.9,43.5,91.2,0.476,1.2,3.6,0.337,42.2,87.6,0.482,19.4,25.8,0.752,14.8,29.8,44.7,24.7,10.8,4.7,20.3,25.0,107.5,26.5,55.0,27.0,3.6,-0.35,3.25,105.6,102.2,3.4,104.8,0.341,0.039,0.548,1980.0,Phoenix Suns,PHO
28,Gar Heard,PF,31.0,PHO,82.0,0.0,17.1,2.1,5.0,0.417,0.0,0.0,0.0,2.1,5.0,0.419,0.417,0.8,1.0,0.744,1.4,3.2,4.6,1.2,1.0,0.6,1.1,2.2,5.0,11.5,0.453,0.005,0.21,9.4,20.1,14.9,8.8,2.7,1.9,16.4,15.2,-0.3,2.6,2.3,0.08,-2.4,1.6,-0.9,0.4,1980.0,Phoenix Suns*,82.0,240.9,43.5,91.2,0.476,1.2,3.6,0.337,42.2,87.6,0.482,19.4,25.8,0.752,14.8,29.8,44.7,24.7,10.8,4.7,20.3,25.0,107.5,26.5,55.0,27.0,3.6,-0.35,3.25,105.6,102.2,3.4,104.8,0.341,0.039,0.548,1980.0,Phoenix Suns,PHO
29,Johnny High,PG,22.0,PHO,82.0,0.0,13.7,1.8,3.9,0.446,0.0,0.1,0.143,1.7,3.9,0.453,0.447,1.5,2.2,0.674,0.8,1.3,2.1,1.5,0.9,0.2,1.5,2.1,5.0,10.1,0.51,0.022,0.551,6.9,10.0,8.5,13.7,2.9,0.7,23.5,18.6,-0.5,1.6,1.1,0.047,-3.3,0.9,-2.4,-0.1,1980.0,Phoenix Suns*,82.0,240.9,43.5,91.2,0.476,1.2,3.6,0.337,42.2,87.6,0.482,19.4,25.8,0.752,14.8,29.8,44.7,24.7,10.8,4.7,20.3,25.0,107.5,26.5,55.0,27.0,3.6,-0.35,3.25,105.6,102.2,3.4,104.8,0.341,0.039,0.548,1980.0,Phoenix Suns,PHO
30,Joel Kramer,C,24.0,PHO,54.0,0.0,13.2,1.2,2.6,0.469,0.0,0.0,0.0,1.2,2.6,0.472,0.469,1.0,1.3,0.8,0.9,1.9,2.8,1.4,0.5,0.1,0.9,1.9,3.5,10.0,0.547,0.007,0.49,7.7,15.4,11.7,13.0,1.7,0.4,22.7,12.6,0.5,0.9,1.4,0.095,-2.2,0.8,-1.4,0.1,1980.0,Phoenix Suns*,82.0,240.9,43.5,91.2,0.476,1.2,3.6,0.337,42.2,87.6,0.482,19.4,25.8,0.752,14.8,29.8,44.7,24.7,10.8,4.7,20.3,25.0,107.5,26.5,55.0,27.0,3.6,-0.35,3.25,105.6,102.2,3.4,104.8,0.341,0.039,0.548,1980.0,Phoenix Suns,PHO
31,Truck Robinson,PF,28.0,PHO,82.0,0.0,33.0,6.6,13.0,0.512,0.0,0.0,0.0,6.6,13.0,0.512,0.512,4.0,5.9,0.667,2.6,6.8,9.4,1.7,0.7,0.7,3.1,3.2,17.3,15.3,0.553,0.0,0.458,8.8,22.1,15.6,7.5,1.0,1.2,16.4,22.4,2.1,3.9,6.0,0.106,-0.8,-0.9,-1.7,0.2,1980.0,Phoenix Suns*,82.0,240.9,43.5,91.2,0.476,1.2,3.6,0.337,42.2,87.6,0.482,19.4,25.8,0.752,14.8,29.8,44.7,24.7,10.8,4.7,20.3,25.0,107.5,26.5,55.0,27.0,3.6,-0.35,3.25,105.6,102.2,3.4,104.8,0.341,0.039,0.548,1980.0,Phoenix Suns,PHO
32,Alvin Scott,SF,24.0,PHO,79.0,0.0,16.5,1.6,3.8,0.422,0.0,0.0,0.333,1.6,3.8,0.423,0.424,1.2,1.5,0.779,1.1,1.8,2.9,1.2,0.6,0.7,1.2,1.3,4.4,9.9,0.493,0.01,0.405,7.7,11.5,9.6,9.3,1.7,2.2,20.6,13.6,0.0,1.7,1.7,0.062,-1.6,0.8,-0.8,0.4,1980.0,Phoenix Suns*,82.0,240.9,43.5,91.2,0.476,1.2,3.6,0.337,42.2,87.6,0.482,19.4,25.8,0.752,14.8,29.8,44.7,24.7,10.8,4.7,20.3,25.0,107.5,26.5,55.0,27.0,3.6,-0.35,3.25,105.6,102.2,3.4,104.8,0.341,0.039,0.548,1980.0,Phoenix Suns,PHO
33,Paul Westphal*,SG,29.0,PHO,82.0,0.0,32.5,8.4,16.1,0.525,0.3,1.1,0.28,8.1,14.9,0.544,0.535,4.7,5.4,0.862,0.6,1.7,2.3,5.1,1.5,0.4,2.5,2.0,21.9,21.1,0.593,0.071,0.336,1.9,5.7,3.9,24.2,2.0,0.7,12.0,25.6,7.7,2.8,10.5,0.189,4.0,0.0,3.9,4.0,1980.0,Phoenix Suns*,82.0,240.9,43.5,91.2,0.476,1.2,3.6,0.337,42.2,87.6,0.482,19.4,25.8,0.752,14.8,29.8,44.7,24.7,10.8,4.7,20.3,25.0,107.5,26.5,55.0,27.0,3.6,-0.35,3.25,105.6,102.2,3.4,104.8,0.341,0.039,0.548,1980.0,Phoenix Suns,PHO
