   ,Player              ,Pos  ,Age ,Tm ,G   ,GS  ,MP  ,FG  ,FGA ,FG%  ,3P ,3PA,3P%  ,2P ,2PA ,2P%  ,eFG% ,FT ,FTA,FT%  ,ORB,DRB ,TRB ,AST,STL,BLK,TOV,PF ,PTS
99 ,Jarron Collins      ,C    ,24.0,UTA,22.0,7.0 ,19.1,1.7 ,3.9 ,0.442,0.0,0.0,0.0  ,1.7,3.9 ,0.447,0.442,2.0,2.8,0.71 ,1.5,1.3 ,2.7 ,0.6,0.2,0.3,0.9,3.2,5.5
100,Jason Collins       ,C    ,24.0,NJN,81.0,66.0,23.5,1.7 ,4.2 ,0.414,0.0,0.0,0.0  ,1.7,4.1 ,0.419,0.414,2.2,2.9,0.763,1.7,2.9 ,4.5 ,1.1,0.6,0.5,1.0,3.1,5.7
101,Chris Crawford      ,PF   ,27.0,ATL,5.0 ,0.0 ,7.6 ,1.6 ,2.6 ,0.615,0.2,0.6,0.333,1.4,2.0 ,0.7  ,0.654,1.4,1.6,0.875,0.6,0.8 ,1.4 ,0.2,0.4,0.6,0.4,1.4,4.8
102,Jamal Crawford      ,PG   ,22.0,CHI,80.0,31.0,24.9,4.2 ,10.1,0.413,1.1,3.0,0.355,3.1,7.1 ,0.438,0.467,1.3,1.6,0.806,0.3,2.1 ,2.3 ,4.2,1.0,0.3,1.7,1.6,10.7
103,Austin Croshere     ,PF   ,27.0,IND,49.0,0.0 ,12.9,1.8 ,4.3 ,0.411,0.6,1.4,0.391,1.2,2.9 ,0.421,0.476,1.1,1.3,0.815,0.8,2.3 ,3.2 ,1.1,0.1,0.3,0.6,1.0,5.1
104,John Crotty         ,PG   ,33.0,DEN,12.0,0.0 ,15.0,1.2 ,3.4 ,0.341,0.3,1.1,0.308,0.8,2.3 ,0.357,0.39 ,0.8,1.3,0.6  ,0.1,1.2 ,1.3 ,2.4,0.3,0.0,0.8,1.3,3.4
106,Michael Curry       ,SF   ,34.0,DET,78.0,77.0,19.9,1.2 ,2.9 ,0.402,0.2,0.7,0.296,1.0,2.2 ,0.434,0.437,0.5,0.6,0.8  ,0.2,1.4 ,1.6 ,1.3,0.6,0.1,0.6,2.1,3.0
107,Erick Dampier       ,C    ,27.0,GSW,82.0,82.0,24.1,3.2 ,6.4 ,0.496,0.0,0.0,0.0  ,3.2,6.3 ,0.498,0.496,1.9,2.7,0.698,3.0,3.6 ,6.6 ,0.7,0.3,1.9,1.4,3.0,8.2
108,Antonio Daniels     ,SG   ,27.0,POR,67.0,2.0 ,13.0,1.3 ,2.8 ,0.452,0.3,0.9,0.305,1.0,1.9 ,0.52 ,0.5  ,1.0,1.1,0.855,0.2,0.9 ,1.1 ,1.3,0.5,0.1,0.5,0.6,3.7
110,Baron Davis         ,PG   ,23.0,NOH,50.0,47.0,37.8,6.6 ,16.0,0.416,2.0,5.7,0.35 ,4.7,10.3,0.452,0.478,1.9,2.6,0.71 ,1.1,2.6 ,3.7 ,6.4,1.8,0.4,2.8,3.0,17.1
112,Emanual Davis       ,SG   ,34.0,ATL,24.0,1.0 ,14.2,1.3 ,3.7 ,0.364,0.3,1.2,0.241,1.0,2.5 ,0.424,0.403,0.7,0.9,0.773,0.2,1.6 ,1.8 ,1.5,0.5,0.1,1.0,1.2,3.7
113,Hubert Davis        ,SG   ,32.0,DET,43.0,1.0 ,7.6 ,0.7 ,1.8 ,0.392,0.3,0.8,0.333,0.4,1.0 ,0.442,0.468,0.1,0.1,0.833,0.1,0.7 ,0.8 ,0.7,0.1,0.0,0.3,0.5,1.8
114,Ricky Davis         ,SG   ,23.0,CLE,79.0,76.0,39.6,7.6 ,18.6,0.41 ,0.9,2.6,0.363,6.7,16.0,0.417,0.435,4.4,5.9,0.748,1.2,3.7 ,4.9 ,5.5,1.6,0.5,3.5,2.3,20.6
116,Tony Delk           ,PG   ,29.0,BOS,67.0,39.0,28.0,3.5 ,8.4 ,0.416,1.8,4.5,0.395,1.7,3.8 ,0.441,0.523,1.0,1.3,0.782,0.6,2.9 ,3.5 ,2.2,1.1,0.1,1.0,1.9,9.8
117,Dan Dickau          ,PG   ,24.0,ATL,50.0,0.0 ,10.3,1.4 ,3.4 ,0.412,0.4,1.2,0.361,1.0,2.2 ,0.44 ,0.476,0.4,0.5,0.808,0.2,0.7 ,0.9 ,1.7,0.3,0.0,1.1,1.3,3.7
118,Michael Dickerson   ,SG   ,27.0,MEM,6.0 ,1.0 ,14.5,1.7 ,4.0 ,0.417,0.7,1.8,0.364,1.0,2.2 ,0.462,0.5  ,0.8,0.8,1.0  ,0.2,0.8 ,1.0 ,1.3,0.8,0.2,1.0,2.7,4.8
121,Vlade Divac*        ,C    ,34.0,SAC,80.0,80.0,29.8,3.8 ,8.2 ,0.466,0.1,0.3,0.24 ,3.7,7.9 ,0.475,0.47 ,2.2,3.1,0.713,2.0,5.2 ,7.2 ,3.4,1.0,1.3,1.9,3.0,9.9
122,Juan Dixon          ,PG   ,24.0,WAS,42.0,3.0 ,15.4,2.5 ,6.5 ,0.384,0.6,2.0,0.298,1.9,4.5 ,0.422,0.43 ,0.9,1.1,0.804,0.3,1.4 ,1.7 ,1.0,0.6,0.1,1.0,1.3,6.4
124,Keyon Dooling       ,SG   ,22.0,LAC,55.0,1.0 ,17.6,2.3 ,6.0 ,0.389,0.9,2.5,0.36 ,1.4,3.5 ,0.411,0.465,0.8,1.0,0.772,0.2,1.1 ,1.3 ,1.6,0.4,0.1,1.1,1.7,6.4
126,Predrag Drobnjak    ,C    ,27.0,SEA,82.0,69.0,24.2,4.0 ,9.6 ,0.412,0.4,1.0,0.353,3.6,8.6 ,0.419,0.431,1.1,1.4,0.791,1.4,2.5 ,3.9 ,1.0,0.6,0.5,0.8,2.2,9.4
128,Tim Duncan*         ,PF   ,26.0,SAS,81.0,81.0,39.3,8.8 ,17.2,0.513,0.1,0.3,0.273,8.7,16.9,0.517,0.515,5.6,7.8,0.71 ,3.2,9.7 ,12.9,3.9,0.7,2.9,3.1,2.9,23.3
