   ,Player               ,Pos  ,Age ,Tm ,G   ,GS  ,MP  ,FG  ,FGA ,FG%  ,3P ,3PA,3P%  ,2P  ,2PA ,2P%  ,eFG% ,FT ,FTA ,FT%  ,ORB,DRB,TRB ,AST ,STL,BLK,TOV,PF ,PTS
167,Kendall Gill         ,SG   ,27.0,TOT,47.0,46.0,35.8,5.2 ,11.1,0.469,0.6,1.7,0.329,4.7 ,9.5 ,0.494,0.494,2.9,3.7 ,0.784,1.5,3.4,4.9 ,5.5 ,1.4,0.5,2.8,2.8,14.0
170,Armen Gilliam        ,SF   ,31.0,NJN,78.0,76.0,36.6,7.4 ,15.6,0.474,0.0,0.0,0.0  ,7.4 ,15.6,0.474,0.474,3.6,4.5 ,0.791,3.1,6.1,9.1 ,1.8 ,0.9,0.7,2.3,2.3,18.3
171,Gerald Glass         ,SF   ,28.0,TOT,15.0,0.0 ,4.7 ,0.8 ,2.2 ,0.364,0.1,0.4,0.167,0.7 ,1.8 ,0.407,0.379,0.1,0.1 ,1.0  ,0.4,0.1,0.5 ,0.3 ,0.2,0.1,0.0,0.7,1.7
174,Anthony Goldwire     ,PG   ,24.0,CHH,42.0,8.0 ,14.8,1.8 ,4.5 ,0.402,0.8,2.0,0.398,1.0 ,2.5 ,0.406,0.489,1.1,1.4 ,0.767,0.2,0.8,1.0 ,2.7 ,0.4,0.0,1.5,1.9,5.5
175,Greg Graham          ,SG   ,25.0,TOT,53.0,5.0 ,11.6,1.5 ,3.6 ,0.404,0.6,1.5,0.39 ,0.9 ,2.1 ,0.414,0.487,1.0,1.3 ,0.765,0.3,0.8,1.1 ,1.0 ,0.5,0.0,0.9,1.2,4.5
179,Ron Grandison        ,PF   ,31.0,TOT,28.0,3.0 ,11.1,0.8 ,2.1 ,0.379,0.1,0.5,0.286,0.6 ,1.6 ,0.409,0.414,0.6,0.9 ,0.68 ,0.7,1.3,2.0 ,0.5 ,0.4,0.1,0.4,1.1,2.3
183,Brian Grant          ,PF   ,23.0,SAC,78.0,75.0,30.7,5.5 ,10.8,0.507,0.1,0.2,0.235,5.4 ,10.6,0.513,0.51 ,3.4,4.6 ,0.732,2.2,4.7,7.0 ,1.6 ,0.5,1.3,2.4,3.4,14.4
184,Gary Grant           ,PG   ,30.0,NYK,47.0,1.0 ,12.7,1.9 ,3.9 ,0.486,0.2,0.5,0.333,1.7 ,3.3 ,0.51 ,0.508,1.0,1.2 ,0.828,0.3,0.9,1.1 ,1.5 ,0.8,0.1,1.0,1.9,4.9
185,Greg Grant           ,PG   ,29.0,TOT,31.0,2.0 ,17.0,1.1 ,3.2 ,0.354,0.3,1.1,0.235,0.9 ,2.1 ,0.415,0.394,0.2,0.2 ,0.833,0.2,0.9,1.1 ,3.1 ,0.7,0.1,1.0,1.4,2.7
189,Harvey Grant         ,PF   ,30.0,POR,76.0,75.0,31.5,4.1 ,8.9 ,0.462,0.3,0.9,0.313,3.9 ,8.1 ,0.479,0.478,0.8,1.4 ,0.545,1.5,3.2,4.8 ,1.5 ,0.8,0.6,1.1,2.3,9.3
190,Horace Grant         ,PF   ,30.0,ORL,63.0,62.0,36.3,5.5 ,10.7,0.513,0.0,0.1,0.167,5.5 ,10.7,0.516,0.513,2.4,3.3 ,0.734,2.8,6.4,9.2 ,2.7 ,1.0,1.2,1.0,2.3,13.4
191,A.C. Green           ,SF   ,32.0,PHO,82.0,36.0,25.8,2.6 ,5.4 ,0.484,0.2,0.6,0.269,2.5 ,4.8 ,0.513,0.5  ,2.0,2.9 ,0.709,2.0,4.7,6.8 ,0.9 ,0.5,0.3,1.0,1.7,7.5
192,Tom Gugliotta        ,PF   ,26.0,MIN,78.0,78.0,36.3,6.1 ,12.9,0.471,0.3,1.1,0.302,5.7 ,11.8,0.487,0.484,3.7,4.8 ,0.773,2.3,6.6,8.8 ,3.1 ,1.8,1.2,3.0,3.4,16.2
199,Darrin Hancock       ,SF   ,24.0,CHH,63.0,7.0 ,13.3,1.8 ,3.4 ,0.523,0.0,0.0,0.333,1.8 ,3.3 ,0.526,0.526,0.7,1.2 ,0.644,0.6,0.9,1.6 ,0.7 ,0.4,0.1,0.9,1.5,4.3
200,Anfernee Hardaway    ,PG   ,24.0,ORL,82.0,82.0,36.8,7.6 ,14.8,0.513,1.1,3.5,0.314,6.5 ,11.4,0.573,0.549,5.4,7.1 ,0.767,1.6,2.7,4.3 ,7.1 ,2.0,0.5,2.8,2.0,21.7
201,Tim Hardaway         ,PG   ,29.0,TOT,80.0,46.0,31.7,5.2 ,12.4,0.422,1.7,4.7,0.364,3.5 ,7.7 ,0.458,0.492,3.0,3.8 ,0.79 ,0.4,2.4,2.9 ,8.0 ,1.7,0.2,2.9,2.5,15.2
204,Derek Harper         ,PG   ,34.0,NYK,82.0,82.0,35.3,5.3 ,11.5,0.464,1.5,4.0,0.372,3.8 ,7.5 ,0.513,0.529,1.9,2.5 ,0.757,0.4,2.1,2.5 ,4.3 ,1.6,0.1,2.2,2.5,14.0
205,Ron Harper           ,PG   ,32.0,CHI,80.0,80.0,23.6,2.9 ,6.3 ,0.467,0.4,1.3,0.269,2.6 ,5.0 ,0.519,0.495,1.2,1.7 ,0.705,0.9,1.7,2.7 ,2.6 ,1.3,0.4,0.9,1.7,7.4
206,Lucious Harris       ,SG   ,25.0,DAL,61.0,1.0 ,16.7,3.0 ,6.5 ,0.461,0.8,2.0,0.376,2.2 ,4.5 ,0.5  ,0.52 ,1.1,1.4 ,0.782,0.7,1.3,2.0 ,1.3 ,0.6,0.0,0.8,0.9,7.9
207,Antonio Harvey       ,PF   ,25.0,TOT,55.0,15.0,14.9,1.5 ,4.1 ,0.371,0.0,0.0,0.0  ,1.5 ,4.0 ,0.374,0.371,0.7,1.5 ,0.458,1.3,2.4,3.6 ,0.3 ,0.5,0.9,0.8,1.4,3.7
210,Hersey Hawkins       ,SG   ,29.0,SEA,82.0,82.0,34.4,5.4 ,11.4,0.473,1.8,4.6,0.384,3.6 ,6.8 ,0.534,0.551,3.0,3.5 ,0.874,1.0,2.6,3.6 ,2.7 ,1.8,0.2,2.0,2.1,15.6
213,Alan Henderson       ,PF   ,23.0,ATL,79.0,4.0 ,17.9,2.4 ,5.5 ,0.442,0.0,0.0,0.0  ,2.4 ,5.5 ,0.445,0.442,1.5,2.5 ,0.595,2.1,2.4,4.5 ,0.6 ,0.6,0.5,1.1,2.7,6.4
214,Carl Herrera         ,PF   ,29.0,SAS,44.0,6.0 ,8.9 ,0.9 ,2.2 ,0.412,0.0,0.0,0.0  ,0.9 ,2.2 ,0.417,0.412,0.1,0.4 ,0.294,0.7,1.2,1.8 ,0.4 ,0.2,0.2,0.7,1.4,1.9
215,Sean Higgins         ,SF   ,27.0,PHI,44.0,4.0 ,20.8,3.0 ,7.3 ,0.415,1.1,2.9,0.372,2.0 ,4.4 ,0.443,0.489,0.8,0.8 ,0.946,0.5,1.6,2.1 ,1.3 ,0.5,0.3,1.1,2.0,8.0
216,Grant Hill*          ,SF   ,23.0,DET,80.0,80.0,40.8,7.1 ,15.3,0.462,0.1,0.3,0.192,7.0 ,14.9,0.468,0.464,6.1,8.1 ,0.751,1.6,8.2,9.8 ,6.9 ,1.3,0.6,3.3,3.0,20.2
221,Fred Hoiberg         ,SG   ,23.0,IND,15.0,1.0 ,5.7 ,0.5 ,1.3 ,0.421,0.1,0.2,0.333,0.5 ,1.1 ,0.438,0.447,1.0,1.2 ,0.833,0.3,0.3,0.6 ,0.5 ,0.4,0.1,0.5,0.8,2.1
222,Jeff Hornacek        ,SG   ,32.0,UTA,82.0,59.0,31.6,5.4 ,10.7,0.502,1.3,2.7,0.466,4.1 ,8.0 ,0.514,0.561,3.2,3.5 ,0.893,0.8,1.8,2.5 ,4.1 ,1.3,0.2,1.5,2.1,15.2
223,Robert Horry         ,SF   ,25.0,HOU,71.0,71.0,37.1,4.2 ,10.3,0.41 ,2.0,5.5,0.366,2.2 ,4.8 ,0.459,0.507,1.6,2.0 ,0.776,1.4,4.4,5.8 ,4.0 ,1.6,1.5,2.3,2.8,12.0
224,Allan Houston        ,SG   ,24.0,DET,82.0,75.0,37.5,6.9 ,15.2,0.453,2.3,5.5,0.427,4.5 ,9.7 ,0.468,0.53 ,3.6,4.4 ,0.823,0.7,3.0,3.7 ,3.0 ,0.7,0.2,2.8,2.8,19.7
225,Byron Houston        ,PF   ,26.0,SAC,25.0,0.0 ,11.0,1.3 ,2.6 ,0.5  ,0.0,0.1,0.333,1.2 ,2.4 ,0.508,0.508,0.8,1.0 ,0.808,1.2,2.1,3.4 ,0.3 ,0.5,0.3,0.7,2.4,3.4
226,Juwan Howard         ,PF   ,22.0,WSB,81.0,81.0,40.7,9.0 ,18.5,0.489,0.0,0.2,0.308,9.0 ,18.4,0.49 ,0.49 ,3.9,5.3 ,0.749,2.3,5.8,8.1 ,4.4 ,0.8,0.5,3.7,3.3,22.1
227,Lindsey Hunter       ,PG   ,25.0,DET,80.0,48.0,26.7,3.0 ,7.9 ,0.381,1.5,3.6,0.405,1.5 ,4.2 ,0.36 ,0.474,1.1,1.5 ,0.7  ,0.6,1.9,2.4 ,2.4 ,1.1,0.2,1.0,2.3,8.5
228,Bobby Hurley         ,PG   ,24.0,SAC,72.0,22.0,14.7,0.9 ,3.2 ,0.283,0.3,1.1,0.289,0.6 ,2.1 ,0.279,0.33 ,0.9,1.2 ,0.8  ,0.2,0.9,1.0 ,3.0 ,0.4,0.0,1.2,1.7,3.1
229,Jaren Jackson        ,SG   ,28.0,HOU,4.0 ,0.0 ,8.3 ,0.0 ,2.0 ,0.0  ,0.0,1.3,0.0  ,0.0 ,0.8 ,0.0  ,0.0  ,2.0,2.5 ,0.8  ,0.0,0.8,0.8 ,0.0 ,0.3,0.0,0.0,1.3,2.0
230,Jim Jackson          ,SG   ,25.0,DAL,82.0,82.0,34.4,6.9 ,16.0,0.435,1.5,4.1,0.363,5.5 ,11.9,0.459,0.481,4.2,5.1 ,0.825,2.1,2.9,5.0 ,2.9 ,0.6,0.3,2.3,2.0,19.6
231,Mark Jackson         ,PG   ,30.0,IND,81.0,81.0,32.6,3.7 ,7.7 ,0.473,0.8,1.8,0.43 ,2.9 ,5.9 ,0.486,0.524,1.9,2.4 ,0.785,0.8,3.0,3.8 ,7.8 ,1.2,0.1,2.5,1.9,10.0
232,Henry James          ,PF   ,30.0,HOU,7.0 ,0.0 ,8.3 ,1.4 ,3.4 ,0.417,0.7,2.1,0.333,0.7 ,1.3 ,0.556,0.521,0.7,0.7 ,1.0  ,0.4,0.4,0.9 ,0.3 ,0.0,0.0,0.6,1.9,4.3
233,Avery Johnson        ,PG   ,30.0,SAS,82.0,82.0,37.6,5.3 ,10.8,0.494,0.1,0.4,0.194,5.3 ,10.4,0.505,0.497,2.3,3.2 ,0.721,0.5,2.1,2.5 ,9.6 ,1.5,0.3,2.4,2.2,13.1
235,Darryl Johnson       ,PG   ,30.0,CLE,11.0,0.0 ,2.5 ,0.5 ,1.1 ,0.417,0.0,0.1,0.0  ,0.5 ,1.0 ,0.455,0.417,0.2,0.2 ,1.0  ,0.2,0.0,0.2 ,0.1 ,0.0,0.0,0.1,0.3,1.1
236,Eddie Johnson        ,SF   ,36.0,IND,62.0,1.0 ,16.2,2.9 ,7.0 ,0.413,0.7,2.1,0.352,2.2 ,5.0 ,0.438,0.464,1.1,1.3 ,0.886,0.7,1.7,2.5 ,1.1 ,0.3,0.1,0.9,1.7,7.7
237,Ervin Johnson        ,C    ,28.0,SEA,81.0,60.0,18.8,2.2 ,4.3 ,0.511,0.0,0.0,0.333,2.2 ,4.3 ,0.513,0.513,1.0,1.6 ,0.669,1.6,3.8,5.3 ,0.6 ,0.5,1.6,1.2,3.0,5.5
238,Kevin Johnson        ,PG   ,29.0,PHO,56.0,55.0,35.8,6.1 ,12.0,0.507,0.4,1.0,0.368,5.7 ,11.0,0.52 ,0.523,6.1,7.1 ,0.859,0.8,3.2,3.9 ,9.2 ,1.5,0.2,3.0,2.6,18.7
239,Larry Johnson        ,PF   ,26.0,CHH,81.0,81.0,40.4,7.2 ,15.1,0.476,0.8,2.3,0.366,6.4 ,12.9,0.495,0.503,5.3,7.0 ,0.757,3.1,5.4,8.4 ,4.4 ,0.7,0.5,2.2,2.1,20.5
240,Magic Johnson*       ,PF   ,36.0,LAL,32.0,9.0 ,29.9,4.3 ,9.2 ,0.466,0.7,1.8,0.379,3.6 ,7.4 ,0.487,0.503,5.4,6.3 ,0.856,1.3,4.5,5.7 ,6.9 ,0.8,0.4,3.2,1.5,14.6
