   ,Player                  ,Pos  ,Age ,Tm ,G   ,GS  ,MP  ,FG  ,FGA ,FG%  ,3P ,3PA ,3P%  ,2P ,2PA ,2P%  ,eFG% ,FT ,FTA ,FT%  ,ORB,DRB ,TRB ,AST ,STL,BLK,TOV,PF ,PTS
232,Danny Green             ,SG   ,30.0,SAS,70.0,60.0,25.6,3.1 ,8.0 ,0.387,1.7,4.6 ,0.363,1.4,3.4 ,0.419,0.49 ,0.7,0.9 ,0.769,0.6,3.0 ,3.6 ,1.6 ,0.9,1.1,1.1,1.7,8.6
233,Draymond Green          ,PF   ,27.0,GSW,70.0,70.0,32.7,4.0 ,8.8 ,0.454,1.1,3.7 ,0.301,2.9,5.2 ,0.562,0.516,1.9,2.5 ,0.775,1.1,6.6 ,7.6 ,7.3 ,1.4,1.3,2.9,2.6,11.0
234,Gerald Green            ,SG   ,32.0,HOU,41.0,2.0 ,22.7,4.1 ,10.1,0.407,2.7,7.3 ,0.369,1.4,2.8 ,0.504,0.54 ,1.2,1.5 ,0.85 ,0.4,2.9 ,3.2 ,0.6 ,0.6,0.4,0.8,2.1,12.1
235,JaMychal Green          ,PF   ,27.0,MEM,55.0,54.0,28.0,4.1 ,8.9 ,0.457,0.8,2.3 ,0.339,3.3,6.6 ,0.499,0.501,1.5,2.0 ,0.721,2.7,5.8 ,8.4 ,1.4 ,0.6,0.5,1.4,2.8,10.3
236,Jeff Green              ,PF   ,31.0,CLE,78.0,13.0,23.4,3.8 ,7.9 ,0.477,0.7,2.2 ,0.312,3.1,5.7 ,0.54 ,0.52 ,2.6,3.0 ,0.868,0.8,2.4 ,3.2 ,1.3 ,0.5,0.4,1.0,1.9,10.8
237,Blake Griffin           ,PF   ,28.0,TOT,58.0,58.0,34.0,7.5 ,17.2,0.438,1.9,5.6 ,0.345,5.6,11.6,0.482,0.493,4.5,5.7 ,0.785,1.3,6.1 ,7.4 ,5.8 ,0.7,0.3,2.8,2.4,21.4
241,Tim Hardaway Jr.        ,SG   ,25.0,NYK,57.0,54.0,33.1,6.3 ,15.0,0.421,2.3,7.2 ,0.317,4.0,7.8 ,0.516,0.496,2.6,3.1 ,0.816,0.6,3.4 ,3.9 ,2.7 ,1.1,0.2,1.6,2.2,17.5
242,James Harden            ,SG   ,28.0,HOU,72.0,72.0,35.4,9.0 ,20.1,0.449,3.7,10.0,0.367,5.4,10.1,0.531,0.541,8.7,10.1,0.858,0.6,4.8 ,5.4 ,8.8 ,1.8,0.7,4.4,2.3,30.4
243,Maurice Harkless        ,SF   ,24.0,POR,59.0,36.0,21.4,2.5 ,5.0 ,0.495,0.8,2.0 ,0.415,1.7,3.0 ,0.547,0.577,0.7,1.0 ,0.712,0.8,2.0 ,2.7 ,0.9 ,0.8,0.7,0.7,1.7,6.5
244,Montrezl Harrell        ,C    ,24.0,LAC,76.0,3.0 ,17.0,4.6 ,7.2 ,0.635,0.0,0.1 ,0.143,4.6,7.1 ,0.641,0.636,1.8,2.9 ,0.626,1.4,2.7 ,4.0 ,1.0 ,0.5,0.7,0.9,1.9,11.0
245,Devin Harris            ,PG   ,34.0,TOT,71.0,1.0 ,18.9,2.6 ,6.4 ,0.412,1.1,3.2 ,0.348,1.5,3.2 ,0.476,0.499,2.0,2.4 ,0.835,0.2,1.6 ,1.8 ,2.1 ,0.7,0.2,1.1,2.2,8.4
248,Gary Harris             ,SG   ,23.0,DEN,67.0,65.0,34.4,6.6 ,13.6,0.485,2.3,5.9 ,0.396,4.2,7.7 ,0.553,0.57 ,2.0,2.4 ,0.827,0.6,2.1 ,2.6 ,2.9 ,1.8,0.2,1.8,1.8,17.5
249,Joe Harris              ,SG   ,26.0,BRK,78.0,14.0,25.3,3.9 ,8.0 ,0.491,1.9,4.6 ,0.419,2.0,3.4 ,0.589,0.612,1.1,1.3 ,0.827,0.7,2.7 ,3.3 ,1.6 ,0.4,0.3,1.2,2.0,10.8
251,Tobias Harris           ,PF   ,25.0,TOT,80.0,80.0,33.4,7.0 ,15.3,0.46 ,2.3,5.6 ,0.411,4.7,9.7 ,0.488,0.535,2.2,2.7 ,0.829,0.7,4.7 ,5.5 ,2.4 ,0.9,0.4,1.3,2.1,18.6
254,Aaron Harrison          ,SG   ,23.0,DAL,9.0 ,3.0 ,25.9,2.1 ,7.7 ,0.275,1.0,4.8 ,0.209,1.1,2.9 ,0.385,0.341,1.4,1.9 ,0.765,0.4,2.2 ,2.7 ,1.2 ,1.0,0.2,0.3,3.0,6.7
255,Andrew Harrison         ,PG   ,23.0,MEM,56.0,46.0,23.7,3.2 ,7.7 ,0.422,0.8,2.5 ,0.331,2.4,5.1 ,0.467,0.477,2.2,2.8 ,0.78 ,0.4,1.9 ,2.3 ,3.2 ,0.7,0.5,1.4,2.5,9.5
256,Shaquille Harrison      ,PG   ,24.0,PHO,23.0,2.0 ,16.7,2.6 ,5.4 ,0.476,0.3,1.1 ,0.231,2.3,4.3 ,0.541,0.5  ,1.2,1.7 ,0.737,0.4,2.3 ,2.7 ,2.4 ,1.1,0.3,1.0,1.8,6.6
