   ,Player               ,Pos  ,Age ,Tm ,G   ,GS  ,MP  ,FG  ,FGA ,FG%  ,3P ,3PA,3P%  ,2P  ,2PA ,2P%  ,eFG% ,FT ,FTA ,FT%  ,ORB,DRB ,TRB ,AST ,STL,BLK,TOV,PF ,PTS
114,Vlade Divac*         ,C    ,23.0,LAL,36.0,18.0,27.2,4.4 ,8.8 ,0.495,0.1,0.5,0.263,4.2 ,8.3 ,0.51 ,0.503,2.4,3.1 ,0.768,2.4,4.4 ,6.9 ,1.7 ,1.5,1.0,2.4,3.2,11.3
118,Sherman Douglas      ,PG   ,25.0,TOT,42.0,2.0 ,17.9,2.8 ,6.0 ,0.462,0.0,0.2,0.1  ,2.8 ,5.8 ,0.477,0.464,1.7,2.5 ,0.682,0.3,1.2 ,1.5 ,4.1 ,0.6,0.2,1.6,1.9,7.3
121,Greg Dreiling        ,C    ,29.0,IND,60.0,23.0,8.5 ,0.7 ,1.5 ,0.494,0.0,0.0,1.0  ,0.7 ,1.4 ,0.488,0.5  ,0.5,0.7 ,0.75 ,0.4,1.2 ,1.6 ,0.4 ,0.2,0.3,0.5,2.1,2.0
122,Clyde Drexler*       ,SG   ,29.0,POR,76.0,76.0,36.2,9.1 ,19.4,0.47 ,1.5,4.4,0.337,7.6 ,15.0,0.51 ,0.509,5.3,6.6 ,0.794,2.2,4.4 ,6.6 ,6.7 ,1.8,0.9,3.2,3.0,25.0
123,Kevin Duckworth      ,C    ,27.0,POR,82.0,82.0,27.1,4.4 ,9.6 ,0.461,0.0,0.0,0.0  ,4.4 ,9.5 ,0.462,0.461,1.9,2.8 ,0.69 ,1.8,4.2 ,6.1 ,1.2 ,0.5,0.5,1.7,3.2,10.7
125,Joe Dumars*          ,SG   ,28.0,DET,82.0,82.0,38.9,7.2 ,16.0,0.448,0.6,1.5,0.408,6.6 ,14.5,0.452,0.466,5.0,5.8 ,0.867,1.0,1.3 ,2.3 ,4.6 ,0.9,0.1,2.4,1.8,19.9
126,Ledell Eackles       ,SG   ,25.0,WSB,65.0,25.0,22.5,5.5 ,11.7,0.468,0.1,0.5,0.2  ,5.4 ,11.1,0.481,0.472,2.1,2.9 ,0.743,0.6,2.1 ,2.7 ,1.9 ,0.7,0.1,1.2,2.2,13.2
130,Blue Edwards         ,SF   ,26.0,UTA,81.0,81.0,28.2,5.3 ,10.2,0.522,0.5,1.3,0.379,4.9 ,9.0 ,0.542,0.545,1.4,1.8 ,0.774,1.1,2.6 ,3.7 ,1.7 ,1.0,0.6,1.5,2.9,12.6
131,James Edwards        ,C    ,36.0,LAC,72.0,11.0,20.0,3.5 ,7.5 ,0.465,0.0,0.0,0.0  ,3.5 ,7.5 ,0.466,0.465,2.8,3.8 ,0.731,0.8,2.0 ,2.8 ,0.7 ,0.3,0.5,1.0,3.3,9.7
132,Kevin Edwards        ,PG   ,26.0,MIA,81.0,1.0 ,22.7,4.0 ,8.8 ,0.454,0.1,0.4,0.219,3.9 ,8.4 ,0.465,0.459,2.0,2.4 ,0.848,0.7,1.9 ,2.6 ,2.1 ,1.2,0.2,1.5,1.7,10.1
