   ,Player               ,Pos  ,Age ,Tm ,G   ,GS  ,MP  ,FG ,FGA ,FG%  ,3P ,3PA,3P%  ,2P ,2PA ,2P%  ,eFG% ,FT ,FTA,FT%  ,ORB,DRB ,TRB ,AST,STL,BLK,TOV,PF ,PTS
384,Boštjan Nachbar      ,SF   ,23.0,HOU,45.0,3.0 ,11.5,1.0,2.9 ,0.356,0.5,1.4,0.365,0.5,1.5 ,0.348,0.443,0.5,0.6,0.724,0.2,1.4 ,1.6 ,0.7,0.3,0.3,0.5,1.6,3.1
385,Lee Nailon           ,PF-SF,28.0,TOT,57.0,4.0 ,13.7,2.6,5.7 ,0.45 ,0.0,0.1,0.0  ,2.6,5.7 ,0.454,0.45 ,0.8,1.0,0.81 ,1.1,1.4 ,2.5 ,0.7,0.3,0.1,0.8,1.6,6.0
389,Eduardo Nájera       ,SF   ,27.0,DAL,58.0,7.0 ,12.4,1.2,2.8 ,0.444,0.0,0.1,0.5  ,1.2,2.7 ,0.443,0.451,0.5,0.8,0.652,1.2,1.5 ,2.7 ,0.4,0.6,0.3,0.5,1.6,3.0
390,Steve Nash*          ,PG   ,29.0,DAL,78.0,78.0,33.5,5.1,10.8,0.47 ,1.3,3.3,0.405,3.8,7.5 ,0.498,0.531,2.9,3.2,0.916,0.8,2.2 ,3.0 ,8.8,0.9,0.1,2.7,1.8,14.5
392,Ira Newble           ,SF   ,29.0,CLE,64.0,25.0,19.5,1.7,4.3 ,0.391,0.0,0.3,0.105,1.7,4.0 ,0.412,0.395,0.6,0.7,0.783,1.0,1.4 ,2.4 ,1.1,0.4,0.3,0.8,1.7,4.0
393,Moochie Norris       ,PG   ,30.0,TOT,66.0,0.0 ,12.8,1.2,3.3 ,0.369,0.3,0.9,0.345,0.9,2.4 ,0.377,0.415,0.8,1.1,0.761,0.2,0.8 ,1.0 ,1.8,0.7,0.1,1.0,0.8,3.5
396,Dirk Nowitzki        ,C    ,25.0,DAL,77.0,77.0,37.9,7.9,17.0,0.462,1.3,3.8,0.341,6.6,13.2,0.496,0.5  ,4.8,5.5,0.877,1.2,7.5 ,8.7 ,2.7,1.2,1.4,1.8,2.8,21.8
397,Jermaine O'Neal      ,PF   ,25.0,IND,78.0,78.0,35.7,7.8,17.9,0.434,0.0,0.2,0.111,7.8,17.7,0.438,0.435,4.5,5.9,0.757,2.5,7.5 ,10.0,2.1,0.8,2.6,2.3,3.2,20.1
400,Lamar Odom           ,PF   ,24.0,MIA,80.0,80.0,37.5,6.1,14.1,0.43 ,0.8,2.6,0.298,5.3,11.5,0.46 ,0.457,4.3,5.7,0.742,2.0,7.7 ,9.7 ,4.1,1.1,0.9,3.0,3.4,17.1
401,Mehmet Okur          ,PF   ,24.0,DET,71.0,33.0,22.3,3.5,7.6 ,0.463,0.3,0.7,0.375,3.3,7.0 ,0.472,0.48 ,2.3,2.9,0.775,2.3,3.7 ,5.9 ,1.0,0.5,0.9,1.4,1.9,9.6
