   ,Player               ,Pos  ,Age ,Tm ,G   ,GS  ,MP  ,FG  ,FGA ,FG%  ,3P ,3PA,3P%  ,2P  ,2PA ,2P%  ,eFG% ,FT ,FTA,FT%  ,ORB,DRB ,TRB ,AST ,STL,BLK,TOV,PF ,PTS
446,Clifford Robinson    ,SF   ,30.0,POR,81.0,79.0,38.0,5.5 ,12.9,0.426,1.5,4.3,0.346,4.0 ,8.6 ,0.466,0.484,2.7,3.8,0.696,1.1,2.9 ,4.0 ,3.2 ,1.2,0.8,2.1,3.1,15.1
448,Glenn Robinson       ,SF   ,24.0,MIL,80.0,79.0,38.9,8.4 ,18.0,0.465,0.8,2.3,0.35 ,7.6 ,15.7,0.482,0.487,3.6,4.6,0.791,1.6,4.7 ,6.3 ,3.1 ,1.3,0.9,3.4,2.8,21.1
449,James Robinson       ,PG   ,26.0,MIN,69.0,5.0 ,19.0,2.8 ,7.0 ,0.407,1.5,3.9,0.382,1.4 ,3.1 ,0.437,0.512,1.1,1.7,0.684,0.3,1.3 ,1.6 ,1.8 ,0.4,0.1,1.0,1.8,8.3
450,Rumeal Robinson      ,PG   ,30.0,TOT,54.0,3.0 ,9.4 ,1.2 ,3.0 ,0.402,0.3,1.0,0.321,0.9 ,2.0 ,0.444,0.457,0.5,0.6,0.743,0.1,0.8 ,0.9 ,1.4 ,0.4,0.0,0.8,1.1,3.3
454,Dennis Rodman*       ,PF   ,35.0,CHI,55.0,54.0,35.4,2.3 ,5.2 ,0.448,0.1,0.3,0.263,2.2 ,4.9 ,0.461,0.456,0.9,1.6,0.568,5.8,10.2,16.1,3.1 ,0.6,0.3,2.0,3.1,5.7
455,Lou Roe              ,SF   ,24.0,GSW,17.0,0.0 ,6.3 ,0.8 ,2.8 ,0.292,0.2,0.6,0.273,0.6 ,2.2 ,0.297,0.323,0.5,1.1,0.474,0.4,0.4 ,0.8 ,0.4 ,0.2,0.1,0.6,0.6,2.4
456,Carlos Rogers        ,PF   ,25.0,TOR,56.0,3.0 ,24.9,3.8 ,7.2 ,0.525,0.4,1.2,0.379,3.3 ,6.0 ,0.553,0.556,1.8,3.0,0.6  ,2.1,3.3 ,5.4 ,0.7 ,0.8,1.2,0.9,2.5,9.8
457,Rodney Rogers        ,SF   ,25.0,LAC,81.0,62.0,30.6,5.0 ,10.9,0.462,0.8,2.2,0.361,4.2 ,8.7 ,0.487,0.498,2.4,3.6,0.663,1.7,3.4 ,5.1 ,2.7 ,1.1,0.8,2.7,3.4,13.2
458,Roy Rogers           ,PF   ,23.0,VAN,82.0,50.0,22.5,3.0 ,5.9 ,0.505,0.0,0.0,1.0  ,3.0 ,5.9 ,0.504,0.506,0.7,1.1,0.574,1.7,3.0 ,4.7 ,0.6 ,0.3,2.0,1.0,2.6,6.6
459,Sean Rooks           ,C    ,27.0,LAL,69.0,3.0 ,10.7,1.3 ,2.7 ,0.47 ,0.0,0.0,0.0  ,1.3 ,2.7 ,0.473,0.47 ,1.3,1.9,0.7  ,0.8,1.6 ,2.4 ,0.6 ,0.2,0.6,0.7,1.8,3.8
460,Jalen Rose           ,SF   ,24.0,IND,66.0,6.0 ,18.0,2.6 ,5.7 ,0.456,0.3,1.1,0.292,2.3 ,4.6 ,0.495,0.484,1.8,2.4,0.75 ,0.4,1.4 ,1.8 ,2.3 ,0.9,0.3,1.6,2.1,7.3
461,Malik Rose           ,PF   ,22.0,CHH,54.0,1.0 ,9.7 ,1.1 ,2.4 ,0.477,0.0,0.0,0.0  ,1.1 ,2.3 ,0.484,0.477,0.7,1.1,0.613,1.3,1.7 ,3.0 ,0.6 ,0.5,0.3,0.8,2.1,3.0
462,Donald Royal         ,SF   ,30.0,TOT,62.0,4.0 ,13.8,1.0 ,2.4 ,0.425,0.0,0.0,0.0  ,1.0 ,2.3 ,0.431,0.425,1.5,1.9,0.803,0.8,1.6 ,2.5 ,0.4 ,0.4,0.2,0.8,1.6,3.5
466,Clifford Rozier      ,C    ,24.0,TOT,42.0,29.0,17.5,1.9 ,4.1 ,0.454,0.0,0.0,0.0  ,1.9 ,4.1 ,0.459,0.454,0.7,1.5,0.508,2.4,3.1 ,5.6 ,0.7 ,0.6,1.0,0.7,2.3,4.5
469,Bryon Russell        ,SF   ,26.0,UTA,81.0,81.0,31.2,3.7 ,7.7 ,0.479,1.3,3.3,0.409,2.3 ,4.4 ,0.531,0.566,2.1,3.0,0.701,1.0,3.1 ,4.1 ,1.5 ,1.6,0.3,1.2,2.9,10.8
471,Arvydas Sabonis*     ,C    ,32.0,POR,69.0,68.0,25.5,4.8 ,9.5 ,0.498,0.7,1.9,0.371,4.0 ,7.6 ,0.53 ,0.536,3.2,4.2,0.777,1.7,6.3 ,7.9 ,2.1 ,0.9,1.2,2.2,2.9,13.4
476,Danny Schayes        ,PF   ,37.0,ORL,45.0,6.0 ,12.0,1.0 ,2.7 ,0.392,0.0,0.0,0.0  ,1.0 ,2.6 ,0.395,0.392,0.9,1.2,0.75 ,0.9,1.9 ,2.8 ,0.3 ,0.3,0.4,0.6,1.6,3.0
478,Dwayne Schintzius    ,C    ,28.0,LAC,15.0,0.0 ,7.7 ,0.9 ,2.4 ,0.361,0.1,0.1,0.5  ,0.8 ,2.3 ,0.353,0.375,0.5,0.5,0.875,0.6,0.9 ,1.5 ,0.3 ,0.1,0.6,0.5,1.5,2.3
