   ,Player               ,Pos  ,Age ,Tm ,G   ,GS  ,MP  ,FG ,FGA ,FG%  ,3P ,3PA,3P%  ,2P ,2PA ,2P%  ,eFG% ,FT ,FTA ,FT%  ,ORB,DRB ,TRB ,AST ,STL,BLK,TOV,PF ,PTS
187,Mike Dunleavy        ,SG   ,30.0,IND,61.0,44.0,27.6,3.9,8.5 ,0.462,1.7,4.2,0.402,2.3,4.4 ,0.519,0.56 ,1.6,2.0 ,0.8  ,0.5,4.1 ,4.5 ,1.7 ,0.7,0.5,1.1,1.8,11.2
189,Kevin Durant         ,SF   ,22.0,OKC,78.0,78.0,38.9,9.1,19.7,0.462,1.9,5.3,0.35 ,7.3,14.4,0.504,0.509,7.6,8.7 ,0.88 ,0.7,6.1 ,6.8 ,2.7 ,1.1,1.0,2.8,2.0,27.7
190,Devin Ebanks         ,SG   ,21.0,LAL,20.0,0.0 ,5.9 ,1.1,2.6 ,0.412,0.1,0.3,0.4  ,1.0,2.3 ,0.413,0.431,0.9,1.2 ,0.783,0.8,0.6 ,1.4 ,0.1 ,0.2,0.3,0.3,0.4,3.1
191,Wayne Ellington      ,SG   ,23.0,MIN,62.0,8.0 ,19.0,2.6,6.4 ,0.403,0.8,2.0,0.397,1.8,4.5 ,0.406,0.463,0.7,0.9 ,0.792,0.4,1.3 ,1.7 ,1.2 ,0.5,0.0,0.9,1.4,6.6
192,Monta Ellis          ,SG   ,25.0,GSW,80.0,80.0,40.3,9.1,20.1,0.451,1.7,4.7,0.361,7.4,15.4,0.478,0.493,4.3,5.4 ,0.789,0.6,3.0 ,3.5 ,5.6 ,2.1,0.3,3.2,2.5,24.1
198,Jeremy Evans         ,SF   ,23.0,UTA,49.0,3.0 ,9.4 ,1.6,2.3 ,0.661,0.0,0.0,0.0  ,1.6,2.3 ,0.667,0.661,0.5,0.8 ,0.703,0.7,1.2 ,2.0 ,0.5 ,0.3,0.3,0.4,1.0,3.6
199,Maurice Evans        ,SF   ,32.0,TOT,73.0,24.0,21.2,2.4,5.8 ,0.417,0.8,2.3,0.329,1.7,3.5 ,0.475,0.482,0.7,0.8 ,0.897,0.7,1.4 ,2.1 ,0.6 ,0.5,0.2,0.5,1.8,6.3
202,Reggie Evans         ,PF   ,30.0,TOR,30.0,18.0,26.6,1.4,3.4 ,0.408,0.0,0.0,0.0  ,1.4,3.4 ,0.412,0.408,1.6,2.9 ,0.545,4.0,7.5 ,11.5,1.3 ,1.0,0.2,1.3,3.0,4.4
203,Tyreke Evans         ,SG   ,21.0,SAC,57.0,53.0,37.0,6.7,16.4,0.409,0.8,2.6,0.291,5.9,13.8,0.432,0.432,3.6,4.7 ,0.771,0.8,4.0 ,4.8 ,5.6 ,1.5,0.5,3.2,2.5,17.8
204,Patrick Ewing        ,SF   ,26.0,NOH,7.0 ,0.0 ,2.7 ,0.0,0.7 ,0.0  ,0.0,0.3,0.0  ,0.0,0.4 ,0.0  ,0.0  ,0.4,0.6 ,0.75 ,0.1,0.1 ,0.3 ,0.3 ,0.0,0.1,0.1,0.1,0.4
205,Christian Eyenga     ,SF   ,21.0,CLE,44.0,18.0,21.5,3.0,7.0 ,0.425,0.6,2.1,0.275,2.4,4.9 ,0.488,0.466,0.4,0.6 ,0.643,0.6,2.2 ,2.8 ,0.8 ,0.8,0.6,1.1,1.8,6.9
