,Player,Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS_48,OBPM,DBPM,BPM,VORP
70,Dillon Brooks,SF,27,17.4,14.440000000000001,25.927,6.292,15.094999999999997,0.42733,1.4149999999999998,4.704,0.3089,5.349,10.817,0.46562,0.47402999999999995,2.6439999999999997,2.9859999999999998,0.84079,0.8400000000000001,2.435,3.104,2.6679999999999997,0.932,0.299,1.6700000000000002,3.303,17.223,14.106,0.51087,0.31148,0.21292000000000003,3.219,9.288,6.2010000000000005,15.472000000000001,1.742,0.777,8.637,28.974,-1.4099999999999995,0.909,0.009999999999999787,0.06684000000000001,-1.6729999999999998,-0.932,-2.503,-0.47700000000000004
75,Jaylen Brown,SF,26,59.49,69.55,32.968,8.899,18.544,0.47368,2.14,6.335,0.35583,6.321000000000001,11.013,0.5458200000000001,0.54747,4.3790000000000004,5.236999999999999,0.75905,0.7220000000000001,5.208,6.068,3.249,1.22,0.335,2.523,2.2030000000000003,24.459000000000003,20.177999999999997,0.5638,0.38798,0.2685,2.6710000000000003,17.0,10.326,15.794999999999998,1.931,0.833,11.871,30.899,3.699,4.076,6.744999999999999,0.14445,2.257,1.4849999999999999,3.0769999999999995,2.4450000000000003
79,Jalen Brunson,SG,26,72.39,35.64,29.075,6.164000000000001,12.443000000000001,0.5012,1.045,2.274,0.35546,5.149,9.806,0.5548000000000001,0.54427,2.658,3.197,0.82697,0.569,3.49,3.9619999999999997,4.734999999999999,0.614,0.023999999999999994,1.733,1.782,16.376,18.159000000000002,0.5814199999999999,0.23975000000000002,0.25445999999999996,2.213,12.927999999999999,7.529,24.721,0.9239999999999999,0.15000000000000002,10.542,24.072,4.7860000000000005,2.539,6.704,0.13982,0.875,-0.3460000000000001,0.874,1.5809999999999997
86,Jimmy Butler,SF,33,48.76,33.57,33.179,6.712,13.683,0.46435,0.46299999999999997,1.6920000000000002,0.20395000000000002,6.069,12.227,0.49716,0.48297,6.293,7.404,0.89434,1.8,3.53,5.557,5.4879999999999995,1.618,0.558,1.9360000000000002,1.325,19.773,21.8,0.56184,0.11653000000000001,0.51336,6.109,12.847,9.727,27.334,2.424,1.7439999999999998,10.785,25.643,4.9830000000000005,3.096,9.28,0.21698,3.377,1.664,5.353,3.644
106,Jordan Clarkson,SG,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,John Collins,PF,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Cade Cunningham,SG,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Stephen Curry,PG,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Anthony Davis,C,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,DeMar DeRozan,PF,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
