     ,Player               ,Age,Tm ,G ,GS,MVP_Share,MVP_Rank,MP  ,FG  ,FGA ,FG%   ,3P ,3PA ,3P%   ,2P  ,2PA ,2P%   ,eFG%  ,FT ,FTA ,FT%   ,ORB,DRB ,TRB ,AST ,STL,BLK,TOV,PF ,PTS ,Year,Tm_AGE,Tm_W,Tm_L,Tm_PW,Tm_PL,Tm_MOV,Tm_SOS,Tm_SRS,Tm_ORtg,Tm_DRtg,Tm_NRtg,Tm_PACE,Tm_FTr,Tm_3PAr,Tm_TS%,Tm_eFG%,Tm_TOV%,Tm_ORB%,Tm_FT/FGA,Tm_Op_eFG%,Tm_Op_TOV%,Tm_DRB%,Tm_Op_FT/FGA,Win%
10454,Gilbert Arenas       ,25 ,WAS,74,73,0.024    ,8       ,39.8,8.7 ,20.9,0.4163,2.8,7.9 ,0.3544,6   ,13  ,0.4615,0.488 ,8.2,9.7 ,0.8454,0.8,3.7 ,4.6 ,6   ,1.9,0.2,3.2,3.4,28.4,2007,27.2  ,43  ,39  ,40   ,42   ,-0.33 ,-0.28 ,-0.61 ,109.2  ,109.6  ,-0.4   ,89.5   ,0.297 ,0.241  ,0.535 ,0.489  ,12.5   ,28.9   ,0.233    ,0.513     ,13.5      ,72.8   ,0.217       ,0.524
3021 ,Tom Chambers         ,29 ,PHO,81,81,0.0235   ,9       ,37.1,9.6 ,20.3,0.4729,0.3,1.1 ,0.2727,9.2 ,19.2,0.4792,0.4754,6.3,7.4 ,0.8514,1.8,6.7 ,8.4 ,2.9 ,1.1,0.7,2.9,3.3,25.7,1989,26.7  ,54  ,28  ,58   ,24   ,7.1   ,-0.01 ,7.09  ,113.1  ,106.2  ,6.9    ,100.7  ,0.38  ,0.076  ,0.565 ,0.509  ,13.3   ,31.1   ,0.302    ,0.478     ,12.8      ,68.8   ,0.209       ,0.659
8404 ,Allen Iverson        ,26 ,PHI,60,59,0.023    ,9       ,43.7,11.1,27.8,0.3993,1.3,4.5 ,0.2889,9.8 ,23.4,0.4188,0.4227,7.9,9.8 ,0.8061,0.7,3.8 ,4.5 ,5.5 ,2.8,0.2,4  ,1.7,31.4,2002,28.3  ,48  ,34  ,48   ,34   ,2.3   ,-0.55 ,1.76  ,105    ,102.5  ,2.5    ,91.4   ,0.339 ,0.119  ,0.52  ,0.466  ,13.7   ,30.3   ,0.263    ,0.488     ,16.2      ,72.7   ,0.243       ,0.585
5149 ,Anfernee Hardaway    ,23 ,ORL,77,77,0.0219   ,10      ,37.7,7.6 ,14.8,0.5135,1.1,3.2 ,0.3438,6.5 ,11.6,0.5603,0.5507,4.6,6   ,0.7667,1.8,2.6 ,4.4 ,7.2 ,1.7,0.3,3.4,2.1,20.9,1995,27.7  ,60  ,22  ,56   ,26   ,5.56  ,-0.16 ,5.4   ,112.9  ,106.9  ,6      ,91.8   ,0.336 ,0.248  ,0.562 ,0.529  ,13.2   ,29     ,0.232    ,0.491     ,14        ,68.8   ,0.223       ,0.732
11059,Amar'e Stoudemire    ,25 ,PHO,79,79,0.0214   ,6       ,33.9,9   ,15.3,0.5882,0.1,0.4 ,0.25  ,9   ,14.9,0.604 ,0.598 ,7  ,8.7 ,0.8046,2.3,6.8 ,9.1 ,1.5 ,0.8,2.1,2.2,3.7,25.2,2008,29.5  ,46  ,36  ,46   ,36   ,1.93  ,-0.31 ,1.62  ,113.6  ,111.6  ,2      ,96     ,0.336 ,0.216  ,0.584 ,0.545  ,14.4   ,27.7   ,0.25     ,0.511     ,12.8      ,71.7   ,0.233       ,0.561
2866 ,Mark Price           ,24 ,CLE,75,74,0.0212   ,10      ,36.4,7.1 ,13.4,0.5299,1.2,2.8 ,0.4286,5.8 ,10.6,0.5472,0.5672,3.5,3.9 ,0.8974,0.6,2.4 ,3   ,8.4 ,1.5,0.1,2.8,1.3,18.9,1989,26.1  ,42  ,40  ,40   ,42   ,-0.3  ,-0.31 ,-0.62 ,106.9  ,107.2  ,-0.3   ,95     ,0.315 ,0.122  ,0.529 ,0.485  ,13.5   ,31.5   ,0.235    ,0.49      ,14        ,67.7   ,0.202       ,0.512
13739,LaMarcus Aldridge    ,28 ,POR,69,69,0.0208   ,10      ,36.2,9.4 ,20.6,0.4563,0  ,0.2 ,0     ,9.4 ,20.4,0.4608,0.4563,4.3,5.2 ,0.8269,2.4,8.7 ,11.1,2.6 ,0.9,1  ,1.8,2.1,23.2,2014,27    ,51  ,31  ,53   ,29   ,4.23  ,0.18  ,4.41  ,108.2  ,103.7  ,4.5    ,94.2   ,0.225 ,0.316  ,0.544 ,0.508  ,12.6   ,24.2   ,0.18     ,0.476     ,11.3      ,76.2   ,0.182       ,0.622
3938 ,Patrick Ewing        ,28 ,NYK,81,81,0.0208   ,11      ,38.3,10.4,20.3,0.5123,0  ,0.1 ,0     ,10.4,20.2,0.5149,0.5123,5.7,7.7 ,0.7403,2.4,8.8 ,11.2,3   ,1  ,3.2,3.6,3.5,26.6,1991,27.3  ,51  ,31  ,52   ,30   ,3.89  ,-0.22 ,3.67  ,108.3  ,104.2  ,4.1    ,92.9   ,0.295 ,0.089  ,0.531 ,0.491  ,13.7   ,34.6   ,0.216    ,0.471     ,14        ,71.1   ,0.248       ,0.622
6559 ,Vin Baker            ,26 ,SEA,82,82,0.0207   ,8       ,35.9,7.7 ,14.2,0.5423,0  ,0.1 ,0     ,7.7 ,14.1,0.5461,0.5423,3.8,6.4 ,0.5937,3.5,4.5 ,8   ,1.9 ,1.1,1  ,2.1,3.4,19.2,1998,31.2  ,25  ,25  ,23   ,27   ,-1.08 ,-0.35 ,-1.43 ,105    ,106.2  ,-1.2   ,89.6   ,0.341 ,0.226  ,0.519 ,0.481  ,14.3   ,31.9   ,0.232    ,0.489     ,14.1      ,68.6   ,0.213       ,0.5
7357 ,Jason Kidd           ,26 ,PHO,67,67,0.0207   ,11      ,39  ,5.2 ,12.8,0.4062,0.8,2.5 ,0.32  ,4.4 ,10.3,0.4272,0.4375,3  ,3.7 ,0.8108,1.4,5.8 ,7.2 ,10.1,2  ,0.4,3.4,2.2,14.3,2000,28.6  ,51  ,31  ,48   ,34   ,2.21  ,0.42  ,2.63  ,100.3  ,98     ,2.3    ,93.1   ,0.292 ,0.156  ,0.506 ,0.46   ,14.1   ,27.3   ,0.221    ,0.46      ,16.3      ,73.7   ,0.252       ,0.622
13951,Kevin Love           ,25 ,MIN,77,77,0.02     ,11      ,36.3,8.4 ,18.5,0.4541,2.5,6.6 ,0.3788,6   ,11.9,0.5042,0.527 ,6.8,8.2 ,0.8293,2.9,9.6 ,12.5,4.4 ,0.8,0.5,2.5,1.8,26.1,2014,24.4  ,16  ,66  ,19   ,63   ,-8.79 ,0.79  ,-8    ,102.9  ,112.2  ,-9.3   ,94.4   ,0.309 ,0.179  ,0.517 ,0.468  ,13.7   ,26.6   ,0.24     ,0.537     ,13.9      ,71.6   ,0.187       ,0.195
11269,Tim Duncan           ,31 ,SAS,78,78,0.0198   ,7       ,34  ,7.5 ,15.1,0.4967,0  ,0.1 ,0     ,7.5 ,15.1,0.4967,0.4967,4.3,5.9 ,0.7288,3  ,8.3 ,11.3,2.8 ,0.7,1.9,2.3,2.4,19.3,2008,30.4  ,54  ,28  ,52   ,30   ,3.76  ,-0.4  ,3.36  ,108.5  ,104.3  ,4.2    ,88.4   ,0.251 ,0.248  ,0.548 ,0.513  ,11.7   ,22.1   ,0.191    ,0.487     ,11.7      ,78     ,0.191       ,0.659
14671,Damian Lillard       ,25 ,POR,75,75,0.0198   ,8       ,35.7,8.2 ,19.7,0.4162,3.1,8.1 ,0.3827,5.2 ,11.5,0.4522,0.5   ,5.5,6.2 ,0.8871,0.6,3.4 ,4   ,6.8 ,0.9,0.4,3.2,2.2,25.1,2016,24.8  ,41  ,41  ,40   ,42   ,-0.52 ,0.3   ,-0.23 ,110.3  ,110.8  ,-0.5   ,96.7   ,0.275 ,0.322  ,0.559 ,0.52   ,12.5   ,23     ,0.214    ,0.508     ,11.6      ,76.8   ,0.241       ,0.5
12308,Dwyane Wade          ,29 ,MIA,76,76,0.0198   ,7       ,37.1,9.1 ,18.2,0.5   ,0.8,2.7 ,0.2963,8.3 ,15.5,0.5355,0.522 ,6.5,8.6 ,0.7558,1.6,4.8 ,6.4 ,4.6 ,1.5,1.1,3.1,2.6,25.5,2011,28.3  ,46  ,20  ,47   ,19   ,5.98  ,-0.27 ,5.72  ,106.6  ,100.2  ,6.4    ,91.2   ,0.307 ,0.198  ,0.549 ,0.505  ,14.5   ,26.6   ,0.238    ,0.479     ,15.8      ,73.9   ,0.2         ,0.697
4993 ,Gary Payton          ,25 ,SEA,82,82,0.0198   ,6       ,35.1,7.1 ,14.1,0.5035,0.2,0.7 ,0.2857,6.9 ,13.5,0.5111,0.5106,2  ,3.4 ,0.5882,1.3,2   ,3.3 ,6   ,2.3,0.2,2.1,2.8,16.5,1994,28.7  ,57  ,25  ,61   ,21   ,8.18  ,-0.27 ,7.91  ,114.8  ,106.3  ,8.5    ,95.5   ,0.38  ,0.194  ,0.575 ,0.527  ,14.1   ,32.6   ,0.288    ,0.492     ,16.1      ,68.7   ,0.278       ,0.695
6492 ,Grant Hill           ,25 ,DET,81,81,0.0198   ,9       ,40.7,7.6 ,16.8,0.4524,0  ,0.3 ,0     ,7.6 ,16.5,0.4606,0.4524,5.9,8   ,0.7375,1.1,6.5 ,7.7 ,6.8 ,1.8,0.7,3.5,2.4,21.1,1998,27.7  ,29  ,21  ,32   ,18   ,3.42  ,0.55  ,3.97  ,104.2  ,100.3  ,3.9    ,86.3   ,0.345 ,0.183  ,0.528 ,0.48   ,15.6   ,30.5   ,0.256    ,0.468     ,15.4      ,72     ,0.259       ,0.58
9210 ,Ben Wallace          ,29 ,DET,81,81,0.0195   ,7       ,37.7,3.9 ,9.2 ,0.4239,0  ,0.1 ,0     ,3.9 ,9.1 ,0.4286,0.4239,1.8,3.6 ,0.5   ,4  ,8.4 ,12.4,1.7 ,1.8,3  ,1.5,2  ,9.5 ,2004,27.9  ,54  ,28  ,53   ,29   ,3.87  ,-0.55 ,3.31  ,105.6  ,101.2  ,4.4    ,87.2   ,0.335 ,0.164  ,0.519 ,0.472  ,13.3   ,31.2   ,0.247    ,0.461     ,13.5      ,73     ,0.207       ,0.659
8227 ,Ben Wallace          ,27 ,DET,80,80,0.019    ,10      ,36.5,3.2 ,6   ,0.5333,0  ,0   ,0     ,3.2 ,6   ,0.5333,0.5333,1.2,2.9 ,0.4138,4  ,9   ,13  ,1.4 ,1.7,3.5,0.9,2.2,7.6 ,2002,29    ,50  ,32  ,52   ,30   ,3.68  ,-0.71 ,2.97  ,104.1  ,99.9   ,4.2    ,86.8   ,0.322 ,0.237  ,0.523 ,0.473  ,13.3   ,25.9   ,0.248    ,0.461     ,13.9      ,74     ,0.225       ,0.61
4127 ,Charles Barkley      ,28 ,PHI,75,75,0.0187   ,12      ,38.4,8.3 ,15  ,0.5533,0.4,1.8 ,0.2222,7.9 ,13.2,0.5985,0.5667,6.1,8.7 ,0.7011,3.6,7.5 ,11.1,4.1 ,1.8,0.6,3.1,2.6,23.1,1992,27.1  ,26  ,56  ,26   ,56   ,-5.77 ,0.51  ,-5.25 ,104.6  ,110.4  ,-5.8   ,98.5   ,0.319 ,0.133  ,0.53  ,0.479  ,14.4   ,28.1   ,0.251    ,0.504     ,13.3      ,65.9   ,0.188       ,0.317
2630 ,John Stockton        ,25 ,UTA,82,79,0.0187   ,10      ,34.7,5.5 ,9.6 ,0.5729,0.3,0.8 ,0.375 ,5.2 ,8.8 ,0.5909,0.5885,3.3,4   ,0.825 ,0.7,2.2 ,2.9 ,13.8,3  ,0.2,3.2,3  ,14.7,1988,27.4  ,51  ,31  ,55   ,27   ,5.02  ,-1.01 ,4.01  ,106.6  ,101.5  ,5.1    ,98     ,0.416 ,0.058  ,0.55  ,0.491  ,16.4   ,32     ,0.32     ,0.447     ,13.9      ,68.1   ,0.246       ,0.622
4212 ,John Stockton        ,29 ,UTA,82,82,0.0187   ,12      ,36.6,5.5 ,11.5,0.4783,1  ,2.5 ,0.4   ,4.5 ,9   ,0.5   ,0.5217,3.8,4.5 ,0.8444,0.8,2.5 ,3.3 ,13.7,3  ,0.3,3.5,2.9,15.8,1992,29.3  ,47  ,35  ,47   ,35   ,2.17  ,-0.43 ,1.74  ,109.6  ,107.4  ,2.2    ,96.5   ,0.365 ,0.061  ,0.55  ,0.498  ,13.8   ,31     ,0.279    ,0.487     ,13.9      ,68.7   ,0.25        ,0.573
8201 ,Paul Pierce          ,24 ,BOS,82,82,0.0175   ,11      ,40.3,8.6 ,19.5,0.441 ,2.6,6.3 ,0.4127,6.1 ,13.1,0.4656,0.5128,6.3,7.8 ,0.8077,1  ,5.9 ,6.9 ,3.2 ,1.9,1  ,2.9,2.9,26.1,2002,26.9  ,44  ,38  ,40   ,42   ,-0.39 ,-0.36 ,-0.75 ,101.2  ,101.6  ,-0.4   ,90.9   ,0.306 ,0.331  ,0.514 ,0.47   ,13.4   ,23.6   ,0.227    ,0.471     ,15.1      ,72.5   ,0.242       ,0.537
11599,Paul Pierce          ,31 ,BOS,81,81,0.0174   ,7       ,37.5,6.7 ,14.6,0.4589,1.5,3.8 ,0.3947,5.2 ,10.8,0.4815,0.5103,5.7,6.8 ,0.8382,0.7,5   ,5.6 ,3.6 ,1  ,0.3,2.8,2.7,20.5,2009,29.4  ,50  ,32  ,52   ,30   ,3.66  ,-0.29 ,3.37  ,107.7  ,103.8  ,3.9    ,91.6   ,0.332 ,0.228  ,0.564 ,0.522  ,14.5   ,22.8   ,0.248    ,0.487     ,14.9      ,73.8   ,0.251       ,0.61
8095 ,Karl Malone          ,37 ,UTA,81,81,0.0169   ,7       ,35.7,8.3 ,16.6,0.5   ,0  ,0.1 ,0     ,8.2 ,16.5,0.497 ,0.494 ,6.6,8.3 ,0.7952,1.4,6.9 ,8.3 ,4.5 ,1.1,0.8,3  ,2.7,23.2,2001,29.9  ,44  ,38  ,44   ,38   ,0.89  ,0.32  ,1.21  ,105.6  ,104.6  ,1      ,90.3   ,0.381 ,0.132  ,0.529 ,0.472  ,15.4   ,33.5   ,0.291    ,0.484     ,15.9      ,71.7   ,0.286       ,0.537
4865 ,Shawn Kemp           ,24 ,SEA,79,73,0.0168   ,7       ,32.9,6.7 ,12.5,0.536 ,0  ,0.1 ,0     ,6.7 ,12.5,0.536 ,0.536 ,4.6,6.2 ,0.7419,3.9,6.8 ,10.8,2.6 ,1.8,2.1,3.3,3.9,18.1,1994,28.7  ,57  ,25  ,61   ,21   ,8.18  ,-0.27 ,7.91  ,114.8  ,106.3  ,8.5    ,95.5   ,0.38  ,0.194  ,0.575 ,0.527  ,14.1   ,32.6   ,0.288    ,0.492     ,16.1      ,68.7   ,0.278       ,0.695
14017,Tony Parker          ,31 ,SAS,68,68,0.0168   ,12      ,29.4,6.7 ,13.4,0.5   ,0.4,1   ,0.4   ,6.3 ,12.5,0.504 ,0.5149,2.9,3.6 ,0.8056,0.3,2   ,2.3 ,5.7 ,0.5,0.1,2.2,1.3,16.7,2014,29.8  ,55  ,27  ,58   ,24   ,6.2   ,0.14  ,6.34  ,108.5  ,102    ,6.5    ,93.8   ,0.256 ,0.269  ,0.555 ,0.517  ,13.1   ,23.4   ,0.2      ,0.484     ,13.3      ,77.3   ,0.19        ,0.671
5032 ,Karl Malone          ,30 ,UTA,82,82,0.0168   ,7       ,40.6,9.4 ,18.9,0.4974,0.1,0.4 ,0.25  ,9.3 ,18.5,0.5027,0.5   ,6.2,9   ,0.6889,2.9,8.6 ,11.5,4   ,1.5,1.5,2.9,3.3,25.2,1994,29.6  ,60  ,22  ,61   ,21   ,7.99  ,-0.23 ,7.76  ,114.3  ,105.7  ,8.6    ,92.6   ,0.392 ,0.126  ,0.587 ,0.535  ,14.8   ,29.1   ,0.306    ,0.496     ,15.5      ,72.5   ,0.292       ,0.732
13623,Tim Duncan           ,37 ,SAS,74,74,0.0168   ,12      ,29.2,6   ,12.2,0.4918,0  ,0.1 ,0     ,6   ,12.2,0.4918,0.4918,3.1,4.3 ,0.7209,2.1,7.6 ,9.7 ,3   ,0.6,1.9,2.1,1.8,15.1,2014,29.8  ,55  ,27  ,58   ,24   ,6.2   ,0.14  ,6.34  ,108.5  ,102    ,6.5    ,93.8   ,0.256 ,0.269  ,0.555 ,0.517  ,13.1   ,23.4   ,0.2      ,0.484     ,13.3      ,77.3   ,0.19        ,0.671
12623,Manu Ginóbili        ,33 ,SAS,80,79,0.0165   ,8       ,30.3,5.5 ,12.7,0.4331,1.9,5.5 ,0.3455,3.6 ,7.2 ,0.5   ,0.5079,4.5,5.1 ,0.8824,0.5,3.2 ,3.7 ,4.9 ,1.5,0.4,2.2,2  ,17.4,2011,27.5  ,50  ,16  ,48   ,18   ,7.17  ,0.11  ,7.28  ,110.9  ,103.2  ,7.7    ,92.9   ,0.261 ,0.257  ,0.562 ,0.528  ,12.8   ,25.1   ,0.195    ,0.489     ,12.9      ,76     ,0.168       ,0.758
8842 ,Chris Webber         ,29 ,SAC,67,67,0.016    ,10      ,39.1,9.9 ,21.4,0.4626,0.1,0.3 ,0.3333,9.8 ,21.1,0.4645,0.465 ,3.2,5.3 ,0.6038,2.4,8.1 ,10.5,5.4 ,1.6,1.3,3.2,3  ,23  ,2003,29.3  ,55  ,27  ,55   ,27   ,5.01  ,0.4   ,5.41  ,110.3  ,104.9  ,5.4    ,92.8   ,0.305 ,0.223  ,0.554 ,0.507  ,13     ,26     ,0.242    ,0.483     ,13.7      ,69.8   ,0.193       ,0.671
3590 ,John Stockton        ,28 ,UTA,82,82,0.0156   ,12      ,37.8,6   ,11.9,0.5042,0.7,2   ,0.35  ,5.3 ,9.9 ,0.5354,0.5336,4.4,5.3 ,0.8302,0.6,2.3 ,2.9 ,14.2,2.9,0.2,3.6,2.8,17.2,1991,28.5  ,55  ,27  ,57   ,25   ,6.39  ,-0.69 ,5.7   ,112.2  ,105.6  ,6.6    ,95.5   ,0.363 ,0.067  ,0.557 ,0.504  ,13.7   ,32.7   ,0.286    ,0.475     ,13        ,68.9   ,0.214       ,0.671
10947,Tracy McGrady        ,28 ,HOU,66,62,0.0151   ,8       ,37  ,8.3 ,19.8,0.4192,1.3,4.5 ,0.2889,7   ,15.3,0.4575,0.452 ,3.7,5.4 ,0.6852,0.6,4.5 ,5.1 ,5.9 ,1  ,0.5,2.4,1.4,21.6,2008,27.9  ,53  ,29  ,53   ,29   ,4     ,-0.27 ,3.73  ,108.4  ,104    ,4.4    ,90.2   ,0.292 ,0.254  ,0.548 ,0.501  ,13.6   ,26.4   ,0.235    ,0.479     ,11.9      ,75.3   ,0.192       ,0.646
7791 ,Jason Kidd           ,27 ,PHO,77,76,0.0145   ,8       ,39.8,5.9 ,14.2,0.4155,0.9,3   ,0.3   ,5   ,11.2,0.4464,0.4472,4.3,5.2 ,0.8269,1.2,5.2 ,6.4 ,9.8 ,2.2,0.3,3.7,2.2,16.9,2001,26.5  ,36  ,46  ,39   ,43   ,-0.68 ,0.39  ,-0.3  ,103.3  ,104    ,-0.7   ,91.4   ,0.235 ,0.158  ,0.51  ,0.472  ,13.6   ,30.1   ,0.18     ,0.476     ,14.4      ,70.2   ,0.227       ,0.439
10868,Steve Nash           ,33 ,PHO,81,81,0.0143   ,9       ,34.3,6   ,11.9,0.5042,2.2,4.7 ,0.4681,3.8 ,7.2 ,0.5278,0.5966,2.7,3   ,0.9   ,0.3,3.1 ,3.5 ,11.1,0.7,0.1,3.6,1.4,16.9,2008,29.5  ,46  ,36  ,46   ,36   ,1.93  ,-0.31 ,1.62  ,113.6  ,111.6  ,2      ,96     ,0.336 ,0.216  ,0.584 ,0.545  ,14.4   ,27.7   ,0.25     ,0.511     ,12.8      ,71.7   ,0.233       ,0.561
9398 ,Jason Kidd           ,30 ,NJN,67,66,0.0138   ,8       ,36.6,5.5 ,14.3,0.3846,1.4,4.4 ,0.3182,4.1 ,9.9 ,0.4141,0.4336,3.1,3.7 ,0.8378,1.3,5.1 ,6.4 ,9.2 ,1.8,0.2,3.2,1.6,15.5,2004,27.8  ,42  ,40  ,36   ,46   ,-1.5  ,-0.32 ,-1.82 ,101.4  ,103.1  ,-1.7   ,89.1   ,0.318 ,0.187  ,0.512 ,0.463  ,13.7   ,25.5   ,0.242    ,0.479     ,15.2      ,73.2   ,0.278       ,0.512
8344 ,Kevin Garnett        ,25 ,MIN,81,81,0.0135   ,12      ,39.2,8.1 ,17.3,0.4682,0.5,1.4 ,0.3571,7.7 ,15.9,0.4843,0.4884,4.4,5.5 ,0.8   ,3  ,9.1 ,12.1,5.2 ,1.2,1.6,2.8,2.3,21.2,2002,28.2  ,51  ,31  ,47   ,35   ,2.07  ,0.39  ,2.46  ,106.1  ,103.8  ,2.3    ,91.9   ,0.268 ,0.118  ,0.528 ,0.488  ,12.9   ,28.2   ,0.206    ,0.472     ,12.7      ,72.9   ,0.203       ,0.622
3430 ,Tom Chambers         ,30 ,PHO,81,81,0.013    ,8       ,37.6,10  ,20  ,0.5   ,0.3,1.1 ,0.2727,9.7 ,18.9,0.5132,0.5075,6.9,8   ,0.8625,1.5,5.6 ,7   ,2.3 ,1.1,0.6,2.7,3.2,27.2,1990,26.9  ,55  ,27  ,57   ,25   ,6.55  ,-0.06 ,6.49  ,112.6  ,106.1  ,6.5    ,101    ,0.372 ,0.06   ,0.558 ,0.506  ,13.5   ,33     ,0.287    ,0.474     ,13.1      ,68.5   ,0.227       ,0.671
8356 ,Michael Jordan       ,38 ,WAS,60,53,0.0127   ,13      ,34.9,9.2 ,22.1,0.4163,0.2,0.9 ,0.2222,9   ,21.2,0.4245,0.4208,4.4,5.6 ,0.7857,0.8,4.8 ,5.7 ,5.2 ,1.4,0.4,2.7,2  ,22.9,2002,28.4  ,37  ,45  ,38   ,44   ,-1.01 ,-0.46 ,-1.47 ,103    ,104.1  ,-1.1   ,88.2   ,0.325 ,0.127  ,0.513 ,0.46   ,13     ,27.3   ,0.253    ,0.477     ,13.8      ,71.6   ,0.212       ,0.451
6791 ,Scottie Pippen       ,32 ,CHI,44,44,0.0121   ,10      ,37.5,7.2 ,16  ,0.45  ,1.4,4.4 ,0.3182,5.8 ,11.6,0.5   ,0.4937,3.4,4.4 ,0.7727,1.2,4   ,5.2 ,5.8 ,1.8,1  ,2.5,2.6,19.1,1998,28.6  ,13  ,37  ,9    ,41   ,-9.46 ,0.88  ,-8.58 ,92.4   ,103    ,-10.6  ,88.1   ,0.309 ,0.159  ,0.47  ,0.424  ,15.1   ,26.8   ,0.219    ,0.483     ,15.3      ,71.7   ,0.241       ,0.26
9521 ,Kevin Garnett        ,28 ,MIN,82,82,0.0118   ,11      ,38.1,8.3 ,16.6,0.5   ,0.1,0.3 ,0.3333,8.3 ,16.3,0.5092,0.509 ,5.4,6.7 ,0.806 ,3  ,10.5,13.5,5.7 ,1.5,1.4,2.7,2.5,22.2,2005,26.7  ,33  ,49  ,35   ,47   ,-1.88 ,0.13  ,-1.75 ,102.4  ,104.5  ,-2.1   ,88.8   ,0.299 ,0.149  ,0.524 ,0.48   ,14.2   ,25.2   ,0.226    ,0.475     ,13.4      ,71.3   ,0.236       ,0.402
1993 ,Terry Cummings       ,24 ,MIL,82,82,0.0115   ,11      ,32.5,8.3 ,17.5,0.4743,0  ,0   ,0     ,8.3 ,17.5,0.4743,0.4743,3.2,4.9 ,0.6531,2.7,5.8 ,8.5 ,2.4 ,1.5,0.6,2.3,3.5,19.8,1986,27.7  ,50  ,32  ,51   ,31   ,3.91  ,0.12  ,4.04  ,109.5  ,105.6  ,3.9    ,100.3  ,0.35  ,0.079  ,0.539 ,0.487  ,13     ,31.1   ,0.268    ,0.479     ,16        ,66.1   ,0.307       ,0.61
3567 ,Isiah Thomas         ,29 ,DET,48,46,0.0115   ,13      ,34.5,6   ,13.9,0.4317,0.4,1.4 ,0.2857,5.6 ,12.5,0.448 ,0.446 ,3.7,4.8 ,0.7708,0.7,2.6 ,3.3 ,9.3 ,1.6,0.2,3.9,2.5,16.2,1991,30.1  ,48  ,34  ,47   ,35   ,2.04  ,0.01  ,2.06  ,107.5  ,105.3  ,2.2    ,91.6   ,0.307 ,0.077  ,0.52  ,0.477  ,13.5   ,34.9   ,0.228    ,0.468     ,12.5      ,68.5   ,0.204       ,0.585
5186 ,Michael Jordan       ,31 ,CHI,17,17,0.0114   ,11      ,39.3,9.8 ,23.8,0.4118,0.9,1.9 ,0.4737,8.8 ,21.9,0.4018,0.4265,6.4,8   ,0.8   ,1.5,5.4 ,6.9 ,5.3 ,1.8,0.8,2.1,2.8,26.9,1995,29.9  ,72  ,10  ,70   ,12   ,12.24 ,-0.44 ,11.8  ,115.2  ,101.8  ,13.4   ,91.1   ,0.291 ,0.196  ,0.555 ,0.517  ,13.1   ,36.9   ,0.217    ,0.482     ,16.1      ,71.1   ,0.222       ,0.878
13117,Dwight Howard        ,26 ,ORL,54,54,0.0107   ,7       ,38.3,7.7 ,13.4,0.5746,0  ,0.1 ,0     ,7.7 ,13.3,0.5789,0.5746,5.2,10.6,0.4906,3.7,10.8,14.5,1.9 ,1.5,2.1,3.2,2.9,20.6,2012,24.6  ,20  ,62  ,22   ,60   ,-6.99 ,-0.14 ,-7.12 ,101.6  ,109.1  ,-7.5   ,92.2   ,0.197 ,0.223  ,0.514 ,0.485  ,13.7   ,25.4   ,0.149    ,0.508     ,11.8      ,74.6   ,0.195       ,0.244
5722 ,John Stockton        ,33 ,UTA,82,82,0.0106   ,11      ,35.5,5.4 ,10  ,0.54  ,1.2,2.7 ,0.4444,4.2 ,7.2 ,0.5833,0.6   ,2.9,3.4 ,0.8529,0.7,2.1 ,2.8 ,11.2,1.7,0.2,3  ,2.5,14.7,1996,29.6  ,64  ,18  ,64   ,18   ,8.79  ,-0.82 ,7.97  ,113.6  ,104    ,9.6    ,90     ,0.389 ,0.145  ,0.581 ,0.53   ,14.7   ,29.7   ,0.299    ,0.48      ,15.5      ,71.6   ,0.29        ,0.78
3789 ,Robert Parish        ,37 ,BOS,81,81,0.0104   ,14      ,30.1,6   ,10  ,0.6   ,0  ,0   ,0     ,6   ,10  ,0.6   ,0.6   ,2.9,3.8 ,0.7632,3.3,7.2 ,10.6,0.8 ,0.8,1.3,1.9,2.4,14.9,1991,29.2  ,51  ,31  ,51   ,31   ,3.62  ,-0.21 ,3.41  ,110.8  ,107    ,3.8    ,95.8   ,0.266 ,0.05   ,0.544 ,0.5    ,12.7   ,31.9   ,0.215    ,0.469     ,11.9      ,68.7   ,0.22        ,0.622
4607 ,Mark Price           ,28 ,CLE,75,74,0.0102   ,8       ,31.7,6.4 ,13.1,0.4885,1.6,3.9 ,0.4103,4.7 ,9.2 ,0.5109,0.542 ,3.9,4.1 ,0.9512,0.5,2.2 ,2.7 ,8   ,1.2,0.1,2.6,1.4,18.2,1993,27.9  ,47  ,35  ,52   ,30   ,4.02  ,-0.39 ,3.64  ,109.4  ,105.1  ,4.3    ,91.7   ,0.335 ,0.121  ,0.537 ,0.487  ,12.8   ,31.8   ,0.258    ,0.484     ,14.5      ,69     ,0.215       ,0.573
4648 ,Karl Malone          ,29 ,UTA,82,82,0.0102   ,8       ,37.8,9.7 ,17.6,0.5511,0  ,0.2 ,0     ,9.7 ,17.4,0.5575,0.5511,7.5,10.2,0.7353,2.8,8.4 ,11.2,3.8 ,1.5,1  ,2.9,3.2,27  ,1993,29.4  ,53  ,29  ,53   ,29   ,4.22  ,-0.12 ,4.1   ,108.6  ,104.1  ,4.5    ,93.1   ,0.354 ,0.083  ,0.537 ,0.49   ,13.3   ,31.3   ,0.262    ,0.469     ,14.6      ,68.4   ,0.267       ,0.646
