     ,Player               ,Age,Tm ,G ,GS,MVP_Share,MVP_Rank,MP  ,FG  ,FGA ,FG%   ,3P ,3PA ,3P%   ,2P  ,2PA ,2P%   ,eFG%  ,FT ,FTA ,FT%   ,ORB,DRB ,TRB ,AST ,STL,BLK,TOV,PF ,PTS ,Year,Tm_AGE,Tm_W,Tm_L,Tm_PW,Tm_PL,Tm_MOV,Tm_SOS,Tm_SRS,Tm_ORtg,Tm_DRtg,Tm_NRtg,Tm_PACE,Tm_FTr,Tm_3PAr,Tm_TS%,Tm_eFG%,Tm_TOV%,Tm_ORB%,Tm_FT/FGA,Tm_Op_eFG%,Tm_Op_TOV%,Tm_DRB%,Tm_Op_FT/FGA,Win%
1921 ,Kareem Abdul-Jabbar  ,38 ,LAL,79,79,0.1731   ,5       ,33.3,9.6 ,16.9,0.568 ,0  ,0   ,0     ,9.6 ,16.9,0.568 ,0.568 ,4.3,5.6 ,0.7679,1.7,4.4 ,6.1 ,3.5 ,0.8,1.6,2.6,3.1,23.4,1986,27.8  ,65  ,17  ,62   ,20   ,9.3   ,-0.99 ,8.32  ,115.6  ,106.5  ,9.1    ,101.6  ,0.352 ,0.062  ,0.577 ,0.528  ,14     ,34.1   ,0.278    ,0.476     ,13.8      ,66.3   ,0.23        ,0.793
9032 ,Kobe Bryant          ,25 ,LAL,65,64,0.1724   ,5       ,37.6,7.9 ,18.1,0.4365,1.1,3.3 ,0.3333,6.8 ,14.8,0.4595,0.4669,7  ,8.2 ,0.8537,1.6,3.9 ,5.5 ,5.1 ,1.7,0.4,2.6,2.7,24  ,2004,26    ,34  ,48  ,33   ,49   ,-2.96 ,0.64  ,-2.32 ,108.1  ,111.4  ,-3.3   ,90.8   ,0.322 ,0.273  ,0.535 ,0.485  ,13.4   ,29.5   ,0.251    ,0.493     ,11        ,71.1   ,0.218       ,0.415
1927 ,Charles Barkley      ,22 ,PHI,80,80,0.1705   ,6       ,36.9,7.4 ,13  ,0.5692,0.2,0.9 ,0.2222,7.2 ,12.1,0.595 ,0.5769,5  ,7.2 ,0.6944,4.4,8.4 ,12.8,3.9 ,2.2,1.6,4.4,4.2,20  ,1986,26.6  ,45  ,37  ,40   ,42   ,-0.2  ,0.31  ,0.11  ,108.3  ,108.5  ,-0.2   ,97.3   ,0.385 ,0.05   ,0.549 ,0.497  ,16.1   ,34.9   ,0.29     ,0.499     ,14.5      ,65.7   ,0.215       ,0.549
12590,Patrick Ewing        ,26 ,NOH,7 ,0 ,0.1653   ,4       ,2.7 ,0   ,0.7 ,0     ,0  ,0.3 ,0     ,0   ,0.4 ,0     ,0     ,0.4,0.6 ,0.6667,0.1,0.1 ,0.3 ,0.3 ,0  ,0.1,0.1,0.1,0.4 ,2011,25.5  ,21  ,45  ,24   ,42   ,-3.76 ,0.65  ,-3.11 ,100.9  ,105.1  ,-4.2   ,88.3   ,0.274 ,0.152  ,0.517 ,0.476  ,15.2   ,27.5   ,0.207    ,0.485     ,13.5      ,73.1   ,0.218       ,0.318
11614,Chris Paul           ,23 ,NOH,78,78,0.1587   ,5       ,38.5,8.1 ,16.1,0.5031,0.8,2.3 ,0.3478,7.3 ,13.8,0.529 ,0.528 ,5.8,6.7 ,0.8657,0.9,4.7 ,5.5 ,11  ,2.8,0.1,3  ,2.7,22.8,2009,27.5  ,37  ,45  ,34   ,48   ,-2.46 ,0.19  ,-2.27 ,107.4  ,110.1  ,-2.7   ,92.6   ,0.243 ,0.23   ,0.543 ,0.506  ,12.7   ,24.8   ,0.189    ,0.523     ,13.5      ,73.8   ,0.205       ,0.451
12601,Kevin Durant         ,22 ,OKC,78,78,0.157    ,5       ,38.9,9.1 ,19.7,0.4619,1.9,5.3 ,0.3585,7.3 ,14.4,0.5069,0.5152,7.6,8.7 ,0.8736,0.7,6.1 ,6.8 ,2.7 ,1.1,1  ,2.8,2  ,27.7,2011,25.1  ,47  ,19  ,46   ,20   ,6.12  ,0.32  ,6.44  ,109.8  ,103.2  ,6.6    ,93     ,0.334 ,0.252  ,0.567 ,0.516  ,15.3   ,27.8   ,0.269    ,0.465     ,13        ,72.1   ,0.207       ,0.712
14275,Anthony Davis        ,21 ,NOP,68,68,0.1562   ,5       ,36.1,9.4 ,17.6,0.5341,0  ,0.2 ,0     ,9.4 ,17.5,0.5371,0.5341,5.5,6.8 ,0.8088,2.5,7.7 ,10.2,2.2 ,1.5,2.9,1.4,2.1,24.4,2015,26.6  ,30  ,52  ,31   ,51   ,-3.79 ,0.24  ,-3.56 ,105.6  ,109.5  ,-3.9   ,96.8   ,0.259 ,0.277  ,0.537 ,0.498  ,12.3   ,21.2   ,0.201    ,0.523     ,12.7      ,78.8   ,0.225       ,0.366
13330,Kobe Bryant          ,34 ,LAL,78,78,0.1521   ,5       ,38.6,9.5 ,20.4,0.4657,1.7,5.2 ,0.3269,7.8 ,15.2,0.5132,0.5074,6.7,8   ,0.8375,0.8,4.7 ,5.6 ,6   ,1.4,0.3,3.7,2.2,27.3,2013,26.8  ,27  ,55  ,25   ,57   ,-6.29 ,0.96  ,-5.33 ,104.2  ,110.6  ,-6.4   ,98.7   ,0.263 ,0.291  ,0.542 ,0.505  ,13.7   ,20.2   ,0.199    ,0.513     ,12.4      ,71     ,0.192       ,0.329
7672 ,Gary Payton          ,31 ,SEA,82,82,0.1488   ,6       ,41.8,9.1 ,20.3,0.4483,2.2,6.3 ,0.3492,7   ,14  ,0.5   ,0.5074,3.8,5.2 ,0.7308,1.2,5.2 ,6.5 ,8.9 ,1.9,0.2,2.7,2.2,24.2,2000,27.9  ,44  ,38  ,41   ,41   ,0.02  ,0.52  ,0.55  ,105.6  ,105.6  ,0      ,91.6   ,0.299 ,0.176  ,0.53  ,0.491  ,14.3   ,29.1   ,0.219    ,0.488     ,13.9      ,69.8   ,0.199       ,0.537
3797 ,Karl Malone          ,27 ,UTA,82,82,0.1479   ,5       ,40.3,10.3,19.6,0.5255,0  ,0.2 ,0     ,10.3,19.4,0.5309,0.5255,8.3,10.8,0.7685,2.9,8.9 ,11.8,3.3 ,1.1,1  ,3  ,3.3,29  ,1991,28.5  ,55  ,27  ,57   ,25   ,6.39  ,-0.69 ,5.7   ,112.2  ,105.6  ,6.6    ,95.5   ,0.363 ,0.067  ,0.557 ,0.504  ,13.7   ,32.7   ,0.286    ,0.475     ,13        ,68.9   ,0.214       ,0.671
