,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Year
32,Walter Davis,SG,36,POR,13,0,8.5,1.5,3.7,.396,0.0,0.1,.000,1.5,3.6,.404,.396,0.4,0.5,.833,0.5,0.6,1.2,0.5,0.3,0.0,0.5,0.4,3.3,8.8,.425,.021,.125,7.2,8.8,8.0,8.5,1.8,0.0,12.1,22.3,-0.1,0.1,0.0,-0.019,-2.5,-1.4,-3.9,-0.1,1991
33,Vlade Divac*,C,22,LAL,19,19,32.1,5.1,9.1,.564,0.1,0.3,.167,5.1,8.7,.578,.567,3.0,3.7,.803,2.6,4.1,6.7,1.1,1.4,2.2,2.2,3.4,13.3,17.5,.620,.035,.413,10.0,15.4,12.7,5.5,2.3,4.3,16.8,18.1,0.8,1.0,1.7,.137,1.3,2.9,4.3,1.0,1991
34,Greg Dreiling,C,28,IND,5,5,15.0,1.0,3.0,.333,0.0,0.0,0,1.0,3.0,.333,.333,0.8,1.2,.667,1.6,2.0,3.6,0.0,0.0,0.0,0.6,3.4,2.8,1.9,.397,.000,.400,12.8,16.8,14.8,0.0,0.0,0.0,14.5,11.4,0.0,0.0,0.0,-0.031,-5.6,-3.8,-9.4,-0.1,1991
35,Larry Drew,PG,32,LAL,18,0,6.4,0.8,1.8,.424,0.2,0.6,.273,0.6,1.2,.500,.470,0.2,0.3,.667,0.0,0.4,0.4,1.2,0.0,0.0,0.5,0.9,1.9,6.4,.491,.333,.182,0.0,8.3,4.2,27.1,0.0,0.0,20.2,17.4,-0.1,0.0,0.0,-0.006,-3.3,-2.4,-5.7,-0.1,1991
36,Clyde Drexler*,SG,28,POR,16,16,39.6,8.0,16.8,.476,0.9,3.5,.268,7.1,13.3,.531,.504,4.8,6.1,.776,2.5,5.6,8.1,8.1,2.1,1.0,3.8,3.5,21.7,21.7,.556,.208,.364,7.2,17.2,12.1,33.6,2.8,1.7,16.3,25.3,1.1,1.0,2.1,.159,5.7,3.1,8.8,1.7,1991
37,Kevin Duckworth,C,26,POR,16,16,31.9,4.6,11.4,.401,0.0,0.0,0,4.6,11.4,.401,.401,2.6,3.5,.732,2.5,4.2,6.7,0.9,0.5,0.5,2.4,3.3,11.7,7.8,.452,.000,.308,8.9,16.1,12.4,4.1,0.8,1.0,15.9,20.7,-0.6,0.5,-0.1,-0.009,-3.5,-1.7,-5.2,-0.4,1991
38,Joe Dumars*,SG,27,DET,15,15,39.2,7.0,16.3,.429,1.1,2.8,.405,5.9,13.5,.433,.463,5.5,6.5,.845,1.4,1.9,3.3,4.1,1.1,0.1,1.1,2.2,20.6,17.9,.537,.171,.396,3.8,5.7,4.7,17.1,1.4,0.1,5.6,22.6,1.5,0.3,1.8,.148,3.5,0.2,3.7,0.8,1991
39,Mark Eaton,C,34,UTA,9,9,28.3,1.8,3.4,.516,0.0,0.0,0,1.8,3.4,.516,.516,0.8,1.3,.583,1.9,4.3,6.2,0.6,0.1,1.4,0.8,4.6,4.3,6.5,.537,.000,.387,8.1,16.6,12.6,2.7,0.2,3.3,16.2,7.5,0.1,0.4,0.5,.086,-3.2,1.5,-1.6,0.0,1991
40,Blue Edwards,SF,25,UTA,9,9,26.8,4.1,8.6,.481,0.1,0.2,.500,4.0,8.3,.480,.487,1.8,2.2,.800,0.8,2.3,3.1,1.8,0.9,0.1,1.7,4.1,10.1,8.8,.530,.026,.260,3.5,9.5,6.7,10.3,1.7,0.3,14.9,18.4,-0.1,0.3,0.3,.050,-3.0,0.9,-2.1,0.0,1991
41,James Edwards,C,35,DET,15,11,23.0,4.1,10.0,.407,0.0,0.0,0,4.1,10.0,.407,.407,2.5,3.7,.691,1.0,1.5,2.5,0.6,0.1,0.2,1.6,2.9,10.7,7.3,.459,.000,.367,4.6,7.4,5.9,4.2,0.3,0.6,12.1,25.1,-0.4,0.1,-0.3,-0.039,-4.1,-2.1,-6.2,-0.4,1991
