,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,STAR,Year
313,Terry Porter,PG,35.0,MIA,50.0,1.0,27.3,3.4,7.4,0.465,1.2,2.8,0.411,2.3,4.6,0.498,0.543,2.5,3.0,0.831,0.3,2.5,2.8,2.9,1.0,0.2,1.5,1.9,10.5,False,1999
314,Vitaly Potapenko,C,23.0,Traded,100.0,88.0,27.9,4.08,8.23,0.49,0.0,0.02,,4.08,8.23,0.49,0.49,1.82,3.1,0.59,2.31,4.4,6.61,1.5,0.68,0.7,2.0,3.38,9.99,False,1999
315,Brent Price,PG,30.0,HOU,40.0,6.0,20.2,2.5,5.2,0.483,1.2,2.8,0.411,1.4,2.4,0.568,0.594,1.2,1.5,0.754,0.5,1.5,2.0,2.8,0.8,0.0,1.6,2.3,7.3,False,1999
316,Theo Ratliff,PF,25.0,PHI,50.0,50.0,32.5,3.9,8.4,0.47,0.0,0.0,,3.9,8.4,0.47,0.47,3.3,4.6,0.725,2.8,5.4,8.1,0.6,0.9,3.0,1.8,3.6,11.2,False,1999
317,Eldridge Recasner,PG,31.0,CHH,44.0,2.0,16.1,1.9,4.2,0.446,0.5,1.4,0.4,1.3,2.8,0.468,0.511,0.8,0.9,0.872,0.5,1.3,1.8,2.1,0.4,0.0,1.3,1.5,5.0,False,1999
318,Bryant Reeves,C,25.0,VAN,25.0,14.0,28.1,4.1,10.0,0.406,0.0,0.0,0.0,4.1,10.0,0.408,0.406,2.7,4.6,0.578,2.0,3.5,5.5,1.5,0.5,0.3,1.9,4.1,10.8,False,1999
319,Khalid Reeves,PG,26.0,DET,11.0,0.0,10.2,0.7,1.9,0.381,0.1,0.3,0.333,0.6,1.6,0.389,0.405,0.7,1.3,0.571,0.3,0.4,0.6,1.0,0.4,0.0,0.6,1.2,2.3,False,1999
320,Don Reid,PF,25.0,DET,47.0,30.0,19.9,2.1,3.7,0.557,0.0,0.0,,2.1,3.7,0.557,0.557,1.0,1.7,0.608,1.4,2.2,3.6,0.7,0.6,0.9,0.8,3.3,5.1,False,1999
321,J.R. Reid,PF,30.0,Traded,82.0,52.0,25.1,3.22,6.78,0.46,0.0,0.0,,3.22,6.73,0.47,0.46,2.58,3.32,0.76,1.11,4.1,5.2,1.19,0.91,0.22,1.23,3.3,8.99,False,1999
322,Shawn Respert,SG,26.0,PHO,12.0,1.0,8.3,1.1,3.0,0.361,0.3,1.1,0.308,0.8,1.9,0.391,0.417,0.6,0.8,0.7,0.2,0.9,1.1,0.7,0.4,0.0,0.4,0.8,3.1,False,1999
323,Rodrick Rhodes,SG-SF,25.0,Traded,26.0,2.0,12.0,1.0,4.0,0.25,0.09,0.52,,0.92,3.48,0.27,0.26,1.22,1.91,0.64,0.7,0.61,1.3,0.82,0.39,0.18,1.52,1.61,3.3,False,1999
324,Glen Rice,SF,31.0,LAL,27.0,25.0,36.5,6.3,14.7,0.432,2.0,5.0,0.393,4.4,9.7,0.452,0.499,2.9,3.3,0.856,0.3,3.3,3.7,2.6,0.6,0.2,1.7,2.5,17.5,False,1999
325,Pooh Richardson,PG,32.0,LAC,11.0,0.0,11.8,1.1,3.3,0.333,0.0,0.5,0.0,1.1,2.7,0.4,0.333,0.4,0.4,1.0,0.1,1.1,1.2,2.7,0.4,0.0,0.8,0.5,2.5,False,1999
326,Mitch Richmond,SG,33.0,WAS,50.0,50.0,38.2,6.6,16.1,0.412,1.4,4.4,0.317,5.2,11.6,0.448,0.456,5.0,5.9,0.857,0.6,2.8,3.4,2.4,1.3,0.2,2.7,2.4,19.7,True,1999
327,Isaiah Rider,SG,27.0,POR,47.0,41.0,29.5,5.3,12.9,0.412,0.9,2.4,0.378,4.4,10.5,0.419,0.446,2.4,3.1,0.755,1.3,2.9,4.2,2.2,0.5,0.2,2.0,2.1,13.9,False,1999
328,Eric Riley,C,28.0,BOS,35.0,11.0,9.6,0.8,1.5,0.519,0.0,0.0,,0.8,1.5,0.519,0.519,0.6,0.9,0.71,1.0,1.8,2.8,0.4,0.3,0.7,0.7,2.1,2.2,False,1999
329,Stanley Roberts,C,28.0,HOU,6.0,0.0,5.5,0.8,2.2,0.385,0.0,0.0,,0.8,2.2,0.385,0.385,0.7,1.3,0.5,0.7,1.2,1.8,0.0,0.0,0.2,0.7,0.3,2.3,False,1999
330,Clifford Robinson,SF,32.0,PHO,50.0,35.0,34.8,6.0,12.6,0.475,1.2,2.8,0.417,4.8,9.8,0.492,0.521,3.3,4.7,0.697,1.4,3.2,4.5,2.6,1.5,1.2,1.8,3.1,16.4,False,1999
331,David Robinson,C,33.0,SAS,49.0,49.0,31.7,5.5,10.8,0.509,0.0,0.0,0.0,5.5,10.7,0.51,0.509,4.9,7.4,0.658,3.0,7.0,10.0,2.1,1.4,2.4,2.2,2.9,15.8,True,1999
332,Glenn Robinson,SF,26.0,MIL,47.0,47.0,33.6,7.4,16.1,0.459,0.7,1.7,0.392,6.7,14.4,0.467,0.479,3.0,3.4,0.87,1.6,4.3,5.9,2.1,1.0,0.9,2.3,2.4,18.4,False,1999
333,James Robinson,PG,28.0,Traded,62.0,0.0,16.31,2.17,5.98,0.36,0.7,2.39,0.28,1.49,3.59,0.41,0.42,0.9,1.3,0.67,0.6,1.41,2.0,1.8,0.71,0.28,1.39,1.92,5.9,False,1999
334,Dennis Rodman,PF,37.0,LAL,23.0,11.0,28.6,0.7,2.0,0.348,0.0,0.1,0.0,0.7,1.9,0.364,0.348,0.7,1.7,0.436,2.7,8.5,11.2,1.3,0.4,0.5,1.3,3.1,2.1,True,1999
335,Carlos Rogers,PF,27.0,POR,2.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.5,2.0,0.25,0.0,0.5,0.5,0.5,0.0,0.0,0.0,1.0,2.5,False,1999
336,Rodney Rogers,SF,27.0,LAC,47.0,7.0,20.6,2.8,6.3,0.441,0.4,1.3,0.286,2.4,5.0,0.483,0.471,1.4,2.1,0.673,1.4,2.4,3.8,1.6,1.0,0.5,1.4,3.0,7.4,False,1999
337,Sean Rooks,C,29.0,LAL,36.0,0.0,8.8,0.9,2.2,0.405,0.0,0.1,0.0,0.9,2.1,0.416,0.405,0.9,1.3,0.708,0.9,1.1,2.0,0.3,0.1,0.3,0.6,1.7,2.7,False,1999
338,Jalen Rose,SF,26.0,IND,49.0,1.0,25.3,4.1,10.1,0.403,0.3,1.3,0.262,3.7,8.8,0.425,0.42,2.6,3.2,0.791,0.7,2.4,3.1,1.9,1.0,0.3,1.5,2.6,11.1,False,1999
339,Malik Rose,PF,24.0,SAS,47.0,0.0,12.9,2.0,4.3,0.463,0.0,0.0,0.0,2.0,4.3,0.465,0.463,2.1,3.1,0.671,1.9,2.0,3.9,0.6,0.9,0.5,1.2,2.6,6.0,False,1999
340,Bryon Russell,SF,28.0,UTA,50.0,50.0,35.4,4.3,9.4,0.464,1.0,2.9,0.354,3.3,6.4,0.514,0.519,2.7,3.4,0.795,1.3,4.0,5.3,1.5,1.5,0.3,1.5,3.1,12.4,False,1999
341,Arvydas Sabonis,C,34.0,POR,50.0,48.0,27.0,4.6,9.6,0.485,0.1,0.5,0.292,4.5,9.1,0.496,0.493,2.7,3.5,0.771,1.8,6.1,7.9,2.4,0.7,1.3,1.7,2.9,12.1,True,1999
342,Jason Sasser,SF,25.0,VAN,6.0,0.0,6.5,0.8,1.8,0.455,0.0,0.0,,0.8,1.8,0.455,0.455,0.2,0.3,0.5,0.3,0.8,1.2,0.3,0.3,0.0,0.3,0.7,1.8,False,1999
343,Danny Schayes,C,39.0,ORL,19.0,1.0,7.5,0.6,1.5,0.379,0.0,0.0,,0.6,1.5,0.379,0.379,0.3,0.4,0.75,0.2,0.6,0.7,0.2,0.1,0.1,0.4,1.2,1.5,False,1999
344,Dwayne Schintzius,C,30.0,BOS,16.0,0.0,4.2,0.3,1.0,0.25,0.0,0.0,,0.3,1.0,0.25,0.25,0.2,0.3,0.75,0.4,0.8,1.2,0.5,0.0,0.2,0.6,1.1,0.7,False,1999
345,Detlef Schrempf,SF,36.0,SEA,50.0,39.0,35.3,5.2,11.0,0.472,0.7,1.7,0.395,4.5,9.3,0.486,0.503,4.0,4.9,0.823,1.5,5.9,7.4,3.7,0.8,0.5,2.1,3.0,15.0,False,1999
346,Dennis Scott,SF,30.0,Traded,72.0,18.0,20.48,2.39,5.91,0.4,1.01,2.68,0.37,1.41,3.2,0.42,0.48,0.61,0.89,0.66,0.2,1.4,1.6,1.09,0.42,0.1,0.52,1.37,6.51,False,1999
347,Malik Sealy,SF,28.0,MIN,31.0,7.0,23.6,3.1,7.5,0.411,0.2,0.7,0.261,2.9,6.7,0.428,0.424,1.8,2.0,0.902,0.7,2.2,3.0,1.2,1.0,0.2,1.1,2.2,8.1,False,1999
348,Rony Seikaly,C,33.0,NJN,9.0,0.0,9.8,0.4,2.2,0.2,0.0,0.0,,0.4,2.2,0.2,0.2,0.8,2.0,0.389,0.6,1.8,2.3,0.2,0.4,0.7,1.1,1.7,1.7,False,1999
349,Charles Shackleford,C,32.0,CHH,32.0,4.0,11.5,1.4,2.8,0.489,0.0,0.0,,1.4,2.8,0.489,0.489,0.6,0.9,0.655,1.3,2.8,4.0,0.4,0.2,0.4,0.8,2.1,3.3,False,1999
350,Brian Shaw,PG,32.0,POR,1.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,False,1999
351,Casey Shaw,C,23.0,PHI,9.0,0.0,1.6,0.1,0.9,0.125,0.0,0.0,,0.1,0.9,0.125,0.125,0.0,0.0,,0.3,0.0,0.3,0.0,0.0,0.0,0.2,0.2,0.2,False,1999
352,Jeff Sheppard,SG,24.0,ATL,18.0,5.0,10.3,0.8,2.2,0.385,0.1,0.4,0.286,0.7,1.8,0.406,0.41,0.4,0.7,0.615,0.3,0.9,1.2,0.9,0.2,0.0,0.4,0.7,2.2,False,1999
353,Miles Simon,SG,23.0,ORL,5.0,0.0,3.8,0.2,1.0,0.2,0.0,0.4,0.0,0.2,0.6,0.333,0.2,0.0,0.0,,0.2,0.2,0.4,0.0,0.2,0.0,0.6,0.2,0.4,False,1999
354,Dickey Simpkins,C,26.0,CHI,50.0,35.0,29.0,3.0,6.5,0.463,0.0,0.0,0.0,3.0,6.5,0.464,0.463,3.1,4.8,0.645,2.2,4.6,6.8,1.3,0.7,0.3,1.4,2.6,9.1,False,1999
355,Alvin Sims,SG,24.0,PHO,4.0,0.0,6.3,1.0,2.5,0.4,0.3,0.3,1.0,0.8,2.3,0.333,0.45,0.5,1.3,0.4,0.8,0.3,1.0,1.3,0.5,0.0,1.5,0.5,2.8,False,1999
356,Brian Skinner,PF,22.0,LAC,21.0,0.0,12.3,1.6,3.4,0.465,0.0,0.0,,1.6,3.4,0.465,0.465,1.0,1.6,0.606,1.0,1.6,2.5,0.0,0.5,0.6,0.9,1.0,4.1,False,1999
357,Reggie Slater,PF,28.0,TOR,30.0,0.0,8.8,1.0,2.7,0.383,0.0,0.0,,1.0,2.7,0.383,0.383,1.8,2.8,0.624,1.2,1.1,2.3,0.2,0.1,0.1,0.8,1.7,3.8,False,1999
358,Charles Smith,SG,23.0,LAC,23.0,10.0,13.8,1.5,4.2,0.361,0.3,1.4,0.212,1.2,2.8,0.438,0.397,0.3,0.7,0.438,0.3,0.7,1.0,0.6,0.7,0.6,0.9,1.5,3.7,False,1999
359,Joe Smith,C,23.0,MIN,43.0,42.0,33.0,5.2,12.1,0.427,0.0,0.1,0.0,5.2,12.1,0.43,0.427,3.3,4.4,0.755,3.6,4.7,8.2,1.6,0.7,1.5,1.5,3.4,13.7,False,1999
360,Michael Smith,PF,26.0,VAN,48.0,10.0,22.9,1.6,3.0,0.535,0.0,0.0,0.0,1.6,3.0,0.538,0.535,1.6,2.7,0.594,2.8,4.5,7.3,1.0,1.0,0.4,1.3,2.2,4.8,False,1999
361,Steve Smith,SG,29.0,ATL,36.0,36.0,36.5,6.0,15.0,0.402,1.3,3.9,0.338,4.7,11.1,0.424,0.445,5.3,6.3,0.849,1.4,2.8,4.2,3.3,1.0,0.3,2.8,2.8,18.7,False,1999
362,Rik Smits,C,32.0,IND,49.0,49.0,25.9,6.3,12.9,0.49,0.0,0.0,0.0,6.3,12.9,0.491,0.49,2.2,2.7,0.818,1.5,4.1,5.6,1.1,0.4,1.1,1.5,3.2,14.9,False,1999
363,Eric Snow,PG,25.0,PHI,48.0,48.0,35.8,3.1,7.3,0.428,0.1,0.4,0.238,3.0,6.8,0.44,0.435,2.3,3.1,0.733,0.5,2.9,3.4,6.3,2.1,0.0,2.3,3.1,8.6,False,1999
364,Felton Spencer,C,31.0,GSW,26.0,0.0,6.1,0.6,1.3,0.455,0.0,0.0,,0.6,1.3,0.455,0.455,0.5,1.0,0.462,0.7,1.1,1.8,0.0,0.2,0.4,0.3,1.6,1.6,False,1999
365,Latrell Sprewell,SF,28.0,NYK,37.0,4.0,33.3,5.8,14.0,0.415,0.6,2.1,0.273,5.2,11.9,0.44,0.435,4.2,5.2,0.812,1.1,3.1,4.2,2.5,1.2,0.1,2.1,1.8,16.4,False,1999
366,Ryan Stack,PF,23.0,CLE,18.0,0.0,11.1,0.8,2.1,0.378,0.0,0.0,,0.8,2.1,0.378,0.378,1.1,1.1,0.95,1.1,0.8,1.9,0.3,0.1,0.6,0.5,1.7,2.6,False,1999
367,Jerry Stackhouse,SG,24.0,DET,42.0,9.0,28.3,4.3,11.6,0.371,0.8,3.0,0.278,3.5,8.6,0.403,0.407,5.0,5.9,0.85,0.6,1.9,2.5,2.8,0.8,0.5,2.9,1.9,14.5,False,1999
368,John Starks,SG,33.0,GSW,50.0,50.0,33.7,5.4,14.6,0.37,1.6,5.4,0.29,3.8,9.2,0.416,0.423,1.5,2.0,0.74,0.7,2.6,3.3,4.7,1.4,0.1,1.7,2.7,13.8,False,1999
369,Vladimir Stepania,C,22.0,SEA,23.0,6.0,13.6,2.3,5.4,0.424,0.0,0.1,0.0,2.3,5.3,0.434,0.424,0.9,1.7,0.525,1.2,2.1,3.3,0.5,0.4,1.0,1.4,2.5,5.5,False,1999
370,Michael Stewart,C,23.0,TOR,42.0,2.0,9.4,0.5,1.3,0.415,0.0,0.0,,0.5,1.3,0.415,0.415,0.4,0.6,0.68,1.0,1.3,2.4,0.1,0.1,0.7,0.3,1.8,1.5,False,1999
371,Bryant Stith,SG,28.0,DEN,46.0,32.0,26.0,2.5,6.3,0.393,0.7,2.3,0.292,1.8,4.0,0.451,0.447,1.3,1.5,0.859,0.7,1.7,2.3,1.8,0.6,0.3,1.0,1.4,7.0,False,1999
372,John Stockton,PG,36.0,UTA,50.0,50.0,28.2,4.0,8.2,0.488,0.3,1.0,0.32,3.7,7.2,0.511,0.507,2.7,3.4,0.811,0.6,2.3,2.9,7.5,1.6,0.3,2.2,2.1,11.1,True,1999
373,Peja Stojaković,SF,21.0,SAC,48.0,1.0,21.4,2.9,7.8,0.378,1.2,3.7,0.32,1.8,4.1,0.431,0.454,1.3,1.5,0.851,0.9,2.1,3.0,1.5,0.9,0.1,1.1,0.9,8.4,False,1999
374,Damon Stoudamire,PG,25.0,POR,50.0,50.0,33.5,5.0,12.6,0.396,0.9,2.8,0.31,4.1,9.7,0.421,0.431,1.8,2.4,0.73,0.8,2.5,3.3,6.2,1.0,0.1,2.2,1.6,12.6,False,1999
375,Erick Strickland,SG,25.0,DAL,33.0,2.0,17.2,2.7,6.7,0.403,0.5,1.8,0.305,2.2,4.9,0.438,0.443,1.6,2.0,0.815,0.4,2.2,2.5,1.9,1.2,0.1,1.1,1.3,7.5,False,1999
376,Mark Strickland,PF,28.0,MIA,32.0,1.0,11.2,1.6,3.2,0.495,0.0,0.0,0.0,1.6,3.1,0.5,0.495,0.6,0.8,0.731,0.8,1.6,2.4,0.3,0.2,0.3,0.4,0.9,3.7,False,1999
377,Rod Strickland,PG,32.0,WAS,44.0,43.0,37.1,5.7,13.7,0.416,0.3,1.0,0.286,5.4,12.8,0.426,0.426,4.0,5.4,0.746,1.3,3.5,4.8,9.9,1.7,0.1,3.2,2.1,15.7,False,1999
378,Derek Strong,PF,30.0,ORL,44.0,0.0,15.8,1.7,4.1,0.422,0.0,0.0,0.0,1.7,4.0,0.427,0.422,1.6,2.3,0.717,1.5,2.2,3.7,0.4,0.3,0.2,0.8,1.5,5.1,False,1999
379,Bruno Šundov,C,18.0,DAL,3.0,0.0,3.7,0.7,2.3,0.286,0.0,0.0,,0.7,2.3,0.286,0.286,0.0,0.0,,0.0,0.0,0.0,0.3,0.0,0.0,0.3,1.3,1.3,False,1999
380,Bob Sura,PG,25.0,CLE,50.0,6.0,16.8,1.4,4.2,0.333,0.2,0.9,0.2,1.2,3.3,0.37,0.355,1.3,2.1,0.631,0.4,1.6,2.0,3.0,0.9,0.3,1.3,2.0,4.3,False,1999
381,Johnny Taylor,SF,24.0,DEN,36.0,9.0,20.1,2.3,5.5,0.414,0.7,1.9,0.382,1.6,3.6,0.431,0.48,0.5,0.6,0.739,0.8,2.0,2.8,0.7,0.8,0.5,0.9,2.7,5.8,False,1999
382,Maurice Taylor,PF,22.0,LAC,46.0,45.0,32.7,6.8,14.7,0.461,0.0,0.1,0.167,6.7,14.5,0.463,0.461,3.3,4.5,0.728,2.2,3.1,5.3,1.5,0.3,0.6,2.6,3.9,16.8,False,1999
