,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Year
24,Maurice Cheeks*,PG,23,PHI,18,0,37.5,4.9,9.7,0.511,0.1,0.3,0.2,4.9,9.4,0.521,0.514,1.6,2.3,0.707,1.2,2.9,4.1,6.2,2.5,0.2,2.5,2.4,11.6,14.2,0.542,0.029,0.236,3.7,8.1,6.0,23.6,3.2,0.3,19.0,14.8,0.5,0.9,1.5,0.105,1.1,0.9,2.0,0.7,1980
25,Jim Chones,C,30,LAL,16,0,27.4,3.0,7.4,0.407,0.0,0.0,0.0,3.0,7.4,0.407,0.407,1.4,2.1,0.676,2.0,4.5,6.5,1.8,0.5,0.4,2.0,3.8,7.4,7.3,0.448,0.0,0.288,7.9,17.3,12.7,7.8,0.9,0.8,19.4,14.8,-0.2,0.4,0.2,0.025,-2.6,-1.1,-3.8,-0.2,1980
26,Jim Cleamons,PG,30,WSB,2,0,10.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.0,0.0,-2.4,0.0,0.0,0.0,0.0,5.5,2.7,5.9,2.4,0.0,25.0,8.2,-0.1,0.0,-0.1,-0.199,-9.0,-1.2,-10.2,0.0,1980
27,Jeff Cook,PF,23,PHO,7,0,14.0,2.3,3.4,0.667,0.0,0.0,0.0,2.3,3.4,0.667,0.667,3.1,3.7,0.846,0.7,2.3,3.0,1.0,0.6,0.3,0.7,1.4,7.7,22.9,0.762,0.0,1.083,5.6,17.7,11.7,9.5,2.0,1.1,12.4,17.0,0.5,0.1,0.5,0.268,4.8,1.4,6.1,0.2,1980
28,Michael Cooper,SG,23,LAL,16,0,29.0,3.6,8.8,0.407,0.0,0.1,0.0,3.6,8.6,0.413,0.407,1.9,2.3,0.861,1.8,1.9,3.7,3.6,1.5,0.7,1.8,3.4,9.1,11.2,0.465,0.014,0.257,6.6,7.1,6.8,15.6,2.4,1.3,15.7,15.7,0.3,0.5,0.8,0.08,0.0,0.6,0.6,0.3,1980
29,Dave Corzine,C,23,WSB,2,0,4.5,2.0,2.5,0.8,0.0,0.0,0.0,2.0,2.5,0.8,0.8,1.0,1.0,1.0,1.0,0.5,1.5,0.0,0.0,0.0,1.5,1.0,5.0,29.5,0.85,0.0,0.4,23.2,12.3,17.9,0.0,0.0,0.0,33.8,40.4,0.0,0.0,0.0,0.063,1.7,-1.1,0.6,0.0,1980
30,Dave Cowens*,C,31,BOS,9,0,33.4,5.4,11.4,0.476,0.0,0.2,0.0,5.4,11.2,0.485,0.476,1.1,1.2,0.909,2.0,5.3,7.3,2.3,1.0,0.8,0.9,4.1,12.0,14.1,0.501,0.019,0.107,6.7,18.4,12.5,10.0,1.5,1.4,6.9,16.3,0.4,0.6,1.0,0.155,1.7,0.7,2.5,0.3,1980
31,Charlie Criss,PG,31,ATL,5,0,30.4,5.8,11.8,0.492,0.2,0.6,0.333,5.6,11.2,0.5,0.5,2.2,2.4,0.917,0.0,1.0,1.0,4.4,1.2,0.0,2.2,2.4,14.0,15.0,0.544,0.051,0.203,0.0,3.9,1.8,25.5,2.0,0.0,14.6,21.3,0.2,0.0,0.2,0.074,1.5,-0.4,1.1,0.1,1980
32,Pat Cummings,C,23,MIL,6,0,9.5,1.8,2.8,0.647,0.0,0.0,0.0,1.8,2.8,0.647,0.647,0.8,1.0,0.833,0.7,2.0,2.7,0.3,0.2,0.0,1.3,1.5,4.5,13.5,0.687,0.0,0.353,8.0,23.3,15.8,5.6,0.9,0.0,28.9,20.3,0.0,0.1,0.1,0.092,-1.0,-0.8,-1.8,0.0,1980
33,Walter Davis,SF,25,PHO,8,0,30.6,8.6,17.1,0.504,0.0,0.4,0.0,8.6,16.8,0.515,0.504,3.5,4.8,0.737,1.1,1.8,2.9,4.4,0.5,0.1,2.5,2.5,20.8,18.3,0.54,0.022,0.277,4.0,6.2,5.1,22.5,0.8,0.2,11.5,29.2,0.4,0.0,0.4,0.08,2.6,-2.4,0.2,0.1,1980
